Brand,Vehicle,Year,Value,Collection,Car Type,PI,Owned
Abarth,595 esseesse ,1968,35000,Autoshow,Cult Classics,D 100,
Abarth,Fiat 131 ,1980,38000,Autoshow,Classic Rally,D 477,
Abarth,500 esseesse ,2010,35000,Autoshow,Hot Hatch,C 563,
Abarth,695 Biposto ,2016,48000,Autoshow,Hot Hatch,B 625,
Acura,Integra Type-R ,2001,25000,Autoshow,Retro Hot Hatch,C 571,
Acura,RSX Type-S ,2002,25000,Autoshow,Hot Hatch,C 568,
Acura,NSX ,2017,170000,Autoshow (DLC: Alpinestars Car Pack),Modern Supercars,S1 868,
Alfa Romeo,Giulia Sprint GTA Stradale ,1965,300000,Autoshow,Rare Classics,D 252,
Alfa Romeo,Giulia TZ2 ,1965,1000000,Autoshow,Classic Racers,C 573,
Alfa Romeo,33 Stradale ,1968,10000000,Autoshow,Classic Racers,B 648,
Alfa Romeo,155 Q4 ,1992,25000,Autoshow,Retro Saloons,C 578,
Alfa Romeo,Milano Quadrifoglio Verde ,1992,25000,Autoshow,Retro Saloons,C 545,
Alfa Romeo,8C Competizione ,2007,300000,Autoshow,GT Cars,A 766,
Alfa Romeo,4C ,2014,74000,Autoshow,European Sports Cars,A 758,
Alumi Craft,Class 10 Race Car ,2015,100000,Autoshow,Buggies,B 692,
AMC,Rebel 'The Machine' ,1970,30000,Autoshow,Classic Muscle,C 522,
AMC,Javelin AMX ,1971,35000,Autoshow,Classic Muscle,C 524,
AMC,Gremlin X ,1973,35000,Autoshow (DLC: Mountain Dew Car Pack),Cult Classics,D 371,
AMC,Pacer X ,1977,35000,Barn Find (Forzathon),Cult Classics,D 274,
AMG Transport Dynamics,M12S Warthog CST ,2554,850000,Autoshow,Extreme Offroad,A 800,
Ariel,Atom 500 V8 ,2013,108000,Autoshow,Extreme Track Toys,S2 974,
Ariel,Nomad ,2016,93000,Autoshow,Buggies,A 749,
Aston Martin,DB5 ,1964,800000,Autoshow,Rare Classics,C 553,
Aston Martin,V8 Vantage ,1977,100000,Autoshow,Rare Classics,C 561,
Aston Martin,V8 Vantage V600 ,1998,342000,Autoshow,Retro Supercars,A 738,
Aston Martin,One-77 ,2010,1400000,Autoshow,Super GT,S1 871,
Aston Martin,V12 Zagato ,2012,500000,Autoshow,Super GT,S1 802,
Aston Martin,Vanquish ,2012,348000,Autoshow,Super GT,S1 810,
Aston Martin,V12 Vantage S ,2013,240000,Autoshow,Super GT,S1 817,
Aston Martin,Vantage GT12 ,2016,400000,Autoshow,Extreme Track Toys,S1 865,
Aston Martin,Vulcan ,2016,1500000,Autoshow (DLC: The Smoking Tire Car Pack),Hypercars,S2 959,
Aston Martin,DB11 ,2017,220000,Autoshow (DLC: Playseat Car Pack),Super GT,S1 805,
Audi,Sport quattro ,1983,175000,Autoshow,Rally Monsters,B 639,
Audi,#2 Audi Sport quattro S1 ,1986,375000,Autoshow,Rally Monsters,S1 896,
Audi,RS 2 Avant ,1995,50000,Autoshow,Retro Saloons,B 638,
Audi,RS 4 ,2006,53000,Autoshow,Super Saloons,A 731,
Audi,RS 3 Sportback ,2011,42000,Autoshow,Super Hot Hatch,B 650,
Audi,RS 5 Coupé ,2011,88000,Autoshow,Super Saloons,A 767,
Audi,R8 Coupé V10 plus 5.2 FSI quattro ,2013,198000,Autoshow,Modern Supercars,S1 842,
Audi,RS 4 Avant ,2013,83000,Autoshow,Super Saloons,A 756,
Audi,#45 Flying Lizard Motorsports R8 LMS ultra ,2014,650000,Autoshow (DLC: All-Stars Car Pack),Extreme Track Toys,S2 960,
Audi,S1 ,2015,35000,Autoshow,Super Hot Hatch,B 625,
Audi,TTS Coupé ,2015,52000,Autoshow,European Sports Cars,A 739,
Audi,R8 V10 plus ,2016,242000,Autoshow,Modern Supercars,S1 879,
Audi,R8 V10 plus Preorder Car ,2016,242000,Autoshow,Modern Supercars,S1 900,
BAC,Mono ,2014,160000,Autoshow,Extreme Track Toys,S1 900,
BAC,Mono Horizon Edition ,2014,210000,Wheelspin,Extreme Track Toys,S1 900,
Baldwin Motorsports,#97 Monster Energy Trophy Truck ,2015,600000,Autoshow,Extreme Offroad,A 796,
Bentley,Continental GT Speed ,2013,242000,Autoshow,GT Cars,A 795,
Bentley,#7 M-Sport Bentley Continental GT3 ,2014,650000,Forzathon,Extreme Track Toys,S2 959,
Bentley,EXP 10 Speed 6 Concept ,2015,550000,Autoshow (DLC: Logitech G Car Pack),GT Cars,S1 811,
Bentley,Bentayga ,2016,180000,Autoshow (DLC: Rockstar Energy Car Pack),Sports Utility Heroes,A 751,
Bentley,Continental Supersports ,2017,200000,Forzathon,GT Cars,S1 811,
BMW,Isetta 300 Export ,1957,45000,Autoshow,Cult Classics,D 100,
BMW,507 ,1959,1250000,Autoshow (DLC: Duracell Car Pack),Rare Classics,D 371,
BMW,2002 Turbo ,1973,26000,Autoshow,Cult Classics,D 500,
BMW,M1 ,1981,585000,Autoshow,Retro Supercars,C 581,
BMW,M635 CSi ,1986,52000,Autoshow,Retro Saloons,B 612,
