Brand,Vehicle,Year,Value,Collection,Rarity,PI,Owned
Abarth,595 esseesse ,1968,35000,Autoshow,COMMON,D 100,
Abarth,Fiat 131 ,1980,38000,Autoshow,COMMON,D 449,
Abarth,695 Biposto ,2016,48000,Autoshow,RARE,B 607,
Abarth,124 Spider ,2017,43500,Autoshow,COMMON,C 577,
Acura,Integra Type-R ,2001,25000,Autoshow,COMMON,C 596,
Acura,RSX Type-S ,2002,25000,Autoshow,COMMON,C 588,
Acura,NSX ,2017,170000,Autoshow,RARE,S1 850,
Alfa Romeo,P3 ,1934,10000000,Purchase: Edinburgh Castle,LEGENDARY,B 626,
Alfa Romeo,Giulia Sprint GTA Stradale ,1965,300000,Autoshow,RARE,D 432,
Alfa Romeo,Giulia TZ2 ,1965,2500000,Autoshow,LEGENDARY,B 639,
Alfa Romeo,33 Stradale ,1968,10000000,Autoshow,LEGENDARY,A 716,
Alfa Romeo,155 Q4 ,1992,250000,"A ""Hard-to-Find"" vehicle",EPIC,C 541,
Alfa Romeo,8C Competizione ,2007,300000,Autoshow,EPIC,A 777,
Alfa Romeo,8C Competizione Forza Edition ,2007,550000,A possible Wheelspin reward,FORZA EDITION,S1 899,
Alfa Romeo,4C ,2014,74000,Autoshow,RARE,A 770,
Alfa Romeo,Giulia Quadrifoglio ,2017,120000,Autoshow,RARE,A 795,
Alfa Romeo,Giulia Quadrifoglio Forza Edition ,2017,370000,A possible Wheelspin reward,FORZA EDITION,S1 900,
Alfa Romeo,Stelvio Quadrifoglio ,2018,80000,Autoshow (DLC: Car Pass),RARE,A 752,
Alpine,A110 ,2017,250000,"A ""Hard-to-Find"" vehicle",EPIC,A 740,
Alumi Craft,Class 10 Race Car ,2015,100000,Autoshow,EPIC,B 673,
Alumi Craft,Class 10 Race Car Forza Edition ,2015,350000,A possible Wheelspin reward,FORZA EDITION,A 800,
AMC,"Rebel ""The Machine"" ",1970,250000,"A ""Hard-to-Find"" vehicle",RARE,C 541,
AMC,Javelin AMX ,1971,35000,Autoshow,RARE,C 512,
AMC,Gremlin X ,1973,35000,Autoshow,COMMON,D 394,
AMG Transport Dynamics,M12S Warthog CST ,2554,850000,Autoshow,LEGENDARY,A 756,
Apollo,Intensa Emozione ,2018,1050000,"A ""Hard-to-Find"" vehicle",LEGENDARY,S2 984,
Ariel,Atom 500 V8 ,2013,108000,Reach Tier 11 in Horizon Life: Speed Zone Hero,EPIC,S2 970,
Ariel,Nomad ,2016,93000,Autoshow,EPIC,A 732,
Ascari,KZ1R ,2012,240000,Autoshow,EPIC,S1 866,
Aston Martin,DBR1 ,1958,10000000,Autoshow,LEGENDARY,B 688,
Aston Martin,DB4 GT Zagato ,1960,500000,Complete its Barn Find rumor,LEGENDARY,B 619,
Aston Martin,DB5 ,1964,800000,Autoshow,LEGENDARY,C 534,
Aston Martin,One-77 ,2010,1400000,Autoshow,LEGENDARY,S1 863,
Aston Martin,Vanquish ,2012,348000,Autoshow,RARE,S1 802,
