Brand,Vehicle,Year,Value,Collection,Rarity,PI,Owned
Austin,FX4 Taxi,1964,20000,Reach Tier 10 in Horizon Life: Isha's Taxis,COMMON,D 100,
Ford,SVT Cobra R,1993,28000,A possible Wheelspin reward,COMMON,C 533,
Ford,Crown Victoria Police Interceptor,2010,25000,A possible Wheelspin reward,COMMON,C 521,
Honda,Civic Type-R,2004,25000,A possible Wheelspin reward,COMMON,B 610,
Jeep,Grand Cherokee SRT,2014,80000,A possible Wheelspin reward,COMMON,A 711,
Lotus,Elise 111S,2005,45000,A possible Wheelspin reward,COMMON,B 650,
Pontiac,Firebird Trans Am SD-455,1973,61000,A possible Wheelspin reward,COMMON,C 536,
SUBARU,Impreza WRX STi,2004,28000,A possible Wheelspin reward,COMMON,B 670,
Audi,TT RS Coupé,2010,66000,A possible Wheelspin reward,RARE,A 722,
Cadillac,XTS Limousine,2013,48500,A possible Wheelspin reward,RARE,C 534,
Chevrolet,Camaro Z28,1979,35000,A possible Wheelspin reward,RARE,D 460,
Ford,XB Falcon GT,1973,60000,A possible Wheelspin reward,RARE,C 529,
Ford,F-150 SVT Raptor,2011,42000,A possible Wheelspin reward,RARE,C 564,
Hummer,H1 Alpha,2006,112000,A possible Wheelspin reward,RARE,D 391,
MINI,John Cooper Works GP,2012,38000,A possible Wheelspin reward,RARE,B 642,
Mercedes-Benz,E 63 AMG,2013,105000,A possible Wheelspin reward,RARE,A 777,
Porsche,Cayenne Turbo,2018,220000,A possible Wheelspin reward,RARE,A 769,
Volkswagen,Golf R,2010,64000,A possible Wheelspin reward,RARE,B 661,
Honda,NSX-R,2005,150000,A possible Wheelspin reward,EPIC,A 714,
Hoonigan,"Chevrolet ""Napalm Nova""",1972,50000,A possible Wheelspin reward,EPIC,A 765,
Lamborghini,Aventador Superveloce,2016,480000,A possible Wheelspin reward,EPIC,S2 906,
Lancia,Delta HF Integrale Evo,1992,60000,A possible Wheelspin reward,EPIC,C 532,
Lotus,2-Eleven,2009,130000,A possible Wheelspin reward,EPIC,S1 813,
Volkswagen,Global RallyCross Beetle,2014,500000,A possible Wheelspin reward,EPIC,S1 846,
Nissan,NISMO GT-R LM,1995,1100000,A possible Wheelspin reward,LEGENDARY,B 685,
Alfa Romeo,8C Competizione Forza Edition,2007,550000,A possible Wheelspin reward,FORZA EDITION,S1 899,
Alfa Romeo,Giulia Quadrifoglio Forza Edition,2017,370000,A possible Wheelspin reward,FORZA EDITION,S1 900,
Alumi Craft,Class 10 Race Car Forza Edition,2015,350000,A possible Wheelspin reward,FORZA EDITION,A 800,
Aston Martin,Vulcan Forza Edition,2016,1750000,A possible Wheelspin reward,FORZA EDITION,S2 998,
BMW,M5 Forza Edition,1988,304000,A possible Wheelspin reward,FORZA EDITION,A 800,
BMW,M6 Coupe Forza Edition,2013,370000,A possible Wheelspin reward,FORZA EDITION,S1 900,
Bentley,Continental GT Speed Forza Edition,2013,492000,A possible Wheelspin reward,FORZA EDITION,S1 900,
Caterham,Superlight R500 Forza Edition,2013,332000,A possible Wheelspin reward,FORZA EDITION,S1 804,
Chevrolet,Nova Super Sport 396 Forza Edition,1969,297000,A possible Wheelspin reward,FORZA EDITION,S2 981,
Ford,Falcon XA GT-HO Forza Edition,1972,330000,A possible Wheelspin reward,FORZA EDITION,S1 811,
Lamborghini,Aventador LP700-4 Forza Edition,2012,560000,A possible Wheelspin reward,FORZA EDITION,S2 997,
Land Rover,Series III Forza Edition,1972,270000,A possible Wheelspin reward,FORZA EDITION,S1 802,
Peugeot,205 T16 F.E.,1984,450000,A possible Wheelspin reward,FORZA EDITION,S1 899,
Renault,5 Turbo Forza Editin,1980,316000,A possible Wheelspin reward,FORZA EDITION,S1 900,
Renault,Clio R.S. Forza Edition,2010,275000,A possible Wheelspin reward,FORZA EDITION,A 701,
Volkswagen,Type 2 De Luxe Forza Edition,1963,290000,A possible Wheelspin reward,FORZA EDITION,S1 897,
