Brand,Vehicle,Year, Value ,Collection,Rarity,PI,Owned
Abarth,595 esseesse ,1968," 35,000 ",Autoshow,COMMON,D 100,
Abarth,Fiat 131 ,1980," 250,000 ","""Hard to Find""",COMMON,C 510,0
Abarth,695 Biposto ,2016," 250,000 ","""Hard to Find""",COMMON,B 657,0
Abarth,124 Spider ,2017," 250,000 ","""Hard to Find""",COMMON,C 562,
Acura,Integra Type-R ,2001," 25,000 ",Autoshow,COMMON,C 596,
Acura,RSX Type-S ,2002," 25,000 ",Autoshow,COMMON,C 585,
Acura,NSX ,2017," 170,000 ",Autoshow,RARE,S1 831,
Alfa Romeo,Giulia Sprint GTA Stradale ,1965," 300,000 ",Autoshow,RARE,D 486,
Alfa Romeo,Giulia TZ2 ,1965," 4,000,000 ",Autoshow,LEGENDARY,B 641,0
Alfa Romeo,33 Stradale ,1968," 15,000,000 ",Autoshow,LEGENDARY,A 707,0
Alfa Romeo,155 Q4 ,1992," 250,000 ","""Hard to Find""",COMMON,C 561,
Alfa Romeo,8C Competizione ,2007," 300,000 ","""Hard to Find""",EPIC,A 755,1
Alfa Romeo,4C ,2014," 250,000 ","""Hard to Find""",RARE,A 755,0
Alfa Romeo,Giulia Quadrifoglio ,2017," 120,000 ",Autoshow,RARE,A 775,
Alpine,A110 1600s ,1973," 98,000 ",Autoshow,RARE,C 550,
Alpine,A110 ,2017," 67,500 ",Wheelspin,EPIC,B 694,
Alumicraft,Class 10 Race Car ,2015," 300,000 ","Autoshow, Wheelspin",EPIC,B 642,
Alumicraft,#122 Class 1 Buggy ,2021," 300,000 ","Grit Reapers: Win ""Desafío"", Autoshow (DLC: Rally Adventure)",EPIC,B 689,
Alumicraft,#6165 Trick Truck ,2022," 500,000 ","Horizon Raptors: Win all Horizon Raptors events, Autoshow (DLC: Rally Adventure)",EPIC,C 596,
AMC,"Rebel ""The Machine"" ",1970," 250,000 ","""Hard to Find""",RARE,C 531,
AMC,Javelin AMX ,1971," 250,000 ","""Hard to Find""",RARE,D 493,
AMC,Gremlin X ,1973," 35,000 ","Autoshow, Wheelspin",COMMON,D 403,
AMG Transport Dynamics,M12S Warthog CST ,2554," 850,000 ","Autoshow, Wheelspin",LEGENDARY,A 719,
Apollo,Intensa Emozione ,2018," 1,500,000 ","Autoshow, Wheelspin",LEGENDARY,S2 963,
Apollo,"Intensa Emozione ""Welcome Pack"" ",2018," 1,500,000 ",Autoshow (DLC: Welcome Pack),COMMON,S2 998,
