Car Model,Car Type,Added,Collect,Collection,Nickname, Value ,Rarity,PI,Owned
2022 Extreme E #125 ABT Cupra XE,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#125 Extreme E," 700,000 ",RARE,A 748,0
2022 Extreme E #22 JBXE,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#22 Extreme E," 700,000 ",RARE,A 748,0
2022 Extreme E #23 Genesys Andretti United,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#23 Extreme E," 700,000 ",RARE,A 748,0
2022 Extreme E #44 X44,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#44 Extreme E," 700,000 ",RARE,A 748,0
2022 Extreme E #55 ACCIONA / Sainz XE Team,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#55 Extreme E," 700,000 ",RARE,A 748,0
1969 FIAT Dino 2.4 Coupe,Classic Sports Cars,Series 29,"Backstage, Seasonal","""Hard to Find""",FIAT Dino," 250,000 ",RARE,D 498,0
1995 Ford Mustang SVT Cobra R,Retro Muscle,Series 43,"Backstage, Seasonal","""Hard to Find""",Ford Mustang '95," 250,000 ",COMMON,B 625,0
2022 Ford Bronco Raptor,Pickups & 4x4s,Series 26,"Backstage, Seasonal","""Dedication to the Cause"" accolade",Bronco Raptor," 250,000 ",EPIC,C 588,0
2023 Ford F-150 Raptor R,Pickups & 4x4s,Series 32,"Backstage, Seasonal","""Hard to Find""",Ford Raptor R," 250,000 ",EPIC,B 689,0
2024 Ford Mustang GT,Modern Muscle,Series 32,"Backstage, Seasonal","""Hard to Find""",Ford Mustang '24," 250,000 ",EPIC,A 739,0
2022 Hyundai N Vision 74,Track Toys,Series 34,"Backstage, Seasonal","""Hard to Find""",N Vision 74 '22," 250,000 ",RARE,A 799,0
2015 Jaguar XKR-S GT,Track Toys,Series 3,"Backstage, Seasonal","""Hard to Find""",Jaguar XKR-S '15," 250,000 ",EPIC,A 778,0
2020 Jaguar F-Type SVR,GT Cars,Series 32,"Backstage, Seasonal","""Hard to Find""",Jag F-TYPE SVR," 250,000 ",RARE,S1 806,0
2018 KTM X-Bow GT4,Extreme Track Toys,Series 5,"Backstage, Seasonal","""Hard to Find""",KTM X-Bow GT4," 400,000 ",EPIC,S1 845,0
2018 Lamborghini Aventador SVJ,Hypercars,Series 2,"Backstage, Seasonal","""Hard to Find""",Aventador SVJ," 500,000 ",LEGENDARY,S1 889,0
2023 Lamborghini Huracán Sterrato,Rally Monsters,Horizon Realms,Accolade,"""Master of Worlds"" accolade",Huracán Sterrato," 250,000 ",LEGENDARY,S1 836,0
1968 Lancia Fulvia Coupe Rallye 1.6 HF,Classic Rally,Series 31,"Backstage, Seasonal","""Hard to Find""",Lancia Fulvia," 250,000 ",RARE,C 526,0
1986 Lancia Delta S4,Retro Rally,Series 24,"Backstage, Seasonal","""Hard to Find""",Lancia Delta S4," 1,000,000 ",RARE,B 682,0
1962 Lincoln Continental,Rods and Customs,Series 27,"Backstage, Seasonal","""Hard to Find""",Continental '62," 250,000 ",EPIC,D 381,0
1980 Lotus Esprit Turbo,Retro Supercars,Series 34,"Backstage, Seasonal","""Hard to Find""",Lotus Esprit '80," 250,000 ",RARE,C 538,0
2000 Lotus 340R,Track Toys,Series 28,"Backstage, Seasonal","""Hard to Find""",Lotus 340R," 250,000 ",RARE,B 700,0
2023 Lucid Air Sapphire,Super Saloons,Series 27,"Backstage, Wheelspin, Seasonal","""Hard to Find""",Lucid Air," 250,000 ",RARE,S1 884,0
2011 McLaren 12C Coupé,Modern Supercars,Series 29,"Backstage, Seasonal","""Hard to Find""",McLaren 12C," 250,000 ",EPIC,S1 832,0
2021 McLaren 765LT,Track Toys,Series 6,"Backstage, Seasonal","""Hard to Find""",McLaren 765LT," 400,000 ",EPIC,S2 913,0
2023 McLaren Artura,Modern Supercars,Series 32,"Backstage, Seasonal","""Hard to Find""",McL. Artura '23," 285,000 ",EPIC,S1 860,0
2006 Mercedes-Benz E 55 AMG Wagon,Retro Saloons,Series 41,"Backstage, Seasonal","""Hard to Find""",M-B E 55 AMG," 250,000 ",RARE,B 698,0
2023 Meyers Manx 2.0 EV,Buggies,Series 26,"Backstage, Seasonal","""Hard to Find""",Meyers Manx 2.0," 250,000 ",EPIC,B 649,0
2020 MG #20 MG6 XPower,Track Toys,Series 16,"Backstage, Seasonal","""Hard to Find""",#20 MG MG6," 250,000 ",RARE,A 800,0
