Car Model,Car Type,Added,Collect,Collection,Nickname, Value ,Rarity,PI,Owned
2023 Lamborghini Huracán Sterrato,Rally Monsters,Horizon Realms,Accolade,"""Master of Worlds"" accolade",Huracán Sterrato," 250,000 ",LEGENDARY,S1 836,0
1963 Volkswagen Beetle Forza Edition,Track Toys,Launch,Accolade,"""Flexibility Beats Everything"" accolade",Beetle '63 FE," 500,000 ",FORZA EDITION,S1 900,0
1998 SUBARU Impreza 22B-STi Version,Retro Rally,Launch,"Backstage, Wheelspin, Seasonal",Wheelspin,Subaru 22B," 110,000 ",LEGENDARY,B 640,0
1984 Honda Civic CRX Mugen,Retro Hot Hatch,Launch,"Backstage, Seasonal",Midnight Battle 2,Honda Civic '84," 40,000 ",EPIC,D 499,0
2010 Ferrari 599 GTO,Super GT,Series 2,"Backstage, Seasonal","""Hard to Find""",Ferrari 599 GTO," 350,000 ",EPIC,S1 828,0
2018 Lamborghini Aventador SVJ,Hypercars,Series 2,"Backstage, Seasonal","""Hard to Find""",Aventador SVJ," 500,000 ",LEGENDARY,S1 889,0
2002 Ferrari 575M Maranello,Retro Supercars,Series 2,"Backstage, Seasonal","""Hard to Find""",Ferrari 575M," 250,000 ",EPIC,A 747,0
2015 Jaguar XKR-S GT,Track Toys,Series 3,"Backstage, Seasonal","""Hard to Find""",Jaguar XKR-S '15," 250,000 ",EPIC,A 778,0
2013 Donkervoort D8 GTO,Track Toys,Series 3,"Backstage, Seasonal","""Hard to Find""",Donkervoort GTO," 250,000 ",LEGENDARY,S1 814,0
2007 Toyota Hilux Arctic Trucks AT38,Pickups & 4x4s,Series 3,"Backstage, Seasonal","""Hard to Find""",Toyota AT38," 250,000 ",RARE,D 457,0
1990 Vauxhall Lotus Carlton,Retro Saloons,Series 3,"Backstage, Seasonal","""Hard to Find""",Vaux Carlton," 250,000 ",RARE,B 635,0
2018 KTM X-Bow GT4,Extreme Track Toys,Series 5,"Backstage, Seasonal","""Hard to Find""",KTM X-Bow GT4," 400,000 ",EPIC,S1 845,0
2019 Toyota 4Runner TRD Pro,Pickups & 4x4s,Series 5,"Backstage, Seasonal","""Hard to Find""",Toyota 4Runner," 250,000 ",RARE,C 531,0
2020 Nissan GT-R NISMO (R35),Track Toys,Series 5,"Backstage, Seasonal","""Hard to Find""",Nissan GTR '20," 250,000 ",EPIC,S1 846,0
2021 McLaren 765LT,Track Toys,Series 6,"Backstage, Seasonal","""Hard to Find""",McLaren 765LT," 400,000 ",EPIC,S2 913,0
1992 Ferrari 512 TR,Retro Supercars,Series 7,"Backstage, Seasonal","""Hard to Find""",Ferrari 512TR," 270,000 ",EPIC,A 733,0
2014 Ferrari California T,Super GT,Series 7,"Backstage, Seasonal","""Hard to Find""",Ferrari Cali T," 250,000 ",EPIC,A 784,0
2020 Ferrari SF90 Stradale,Hypercars,Series 7,"Backstage, Seasonal","""Hard to Find""",Ferrari SF90," 750,000 ",LEGENDARY,S2 915,0
2019 Ferrari F8 Tributo,Modern Supercars,Series 7,"Backstage, Seasonal","""Hard to Find""",F8 Tributo '19," 750,000 ",LEGENDARY,S1 891,0
2022 Extreme E #22 JBXE,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#22 Extreme E," 700,000 ",RARE,A 748,0
2022 Extreme E #58 McLaren Racing,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#58 Extreme E," 700,000 ",RARE,A 748,0
1964 Porsche 356 C Cabriolet Emory Special,Classic Sports Cars,Series 10,"Backstage, Seasonal","""Hard to Find""",Emory 356 C '64," 400,000 ",EPIC,B 651,0
2022 Extreme E #42 XITE Racing Team,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#42 Extreme E," 700,000 ",RARE,A 748,0
2022 Extreme E #23 Genesys Andretti United,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#23 Extreme E," 700,000 ",RARE,A 748,0
2022 Extreme E #55 ACCIONA / Sainz XE Team,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#55 Extreme E," 700,000 ",RARE,A 748,0
2022 Extreme E #44 X44,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#44 Extreme E," 700,000 ",RARE,A 748,0
2022 Extreme E #5 Veloce Racing,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#5 Extreme E," 700,000 ",RARE,A 748,0
2022 Extreme E #125 ABT Cupra XE,Unlimited Offroad,Series 10,"Backstage, Seasonal","""Hard to Find""",#125 Extreme E," 700,000 ",RARE,A 748,0
2021 BMW M4 Competition Coupé,Super Saloons,Series 11,"Backstage, Seasonal","""Hard to Find""",BMW M4 '21," 250,000 ",RARE,A 778,0
1990 SUBARU Legacy RS,Retro Rally,Series 11,"Backstage, Seasonal","""Hard to Find""",Subaru Legacy RS," 250,000 ",COMMON,C 514,0
2010 BMW M3 GTS,Track Toys,Series 11,"Backstage, Seasonal","""Hard to Find""",BMW E92 M3 GTS," 250,000 ",EPIC,A 794,0
2021 Audi RS 7 Sportback,Super Saloons,Series 12,"Backstage, Seasonal","""Hard to Find""",Audi RS '21," 250,000 ",RARE,A 768,0
1946 Ford Super Deluxe Station Wagon,Rods and Customs,Series 14,"Backstage, Seasonal","""Hard to Find""",Ford Wagon," 250,000 ",COMMON,D 124,0
2020 MG #20 MG6 XPower,Track Toys,Series 16,"Backstage, Seasonal","""Hard to Find""",#20 MG MG6," 250,000 ",RARE,A 800,0
2015 Honda Ridgeline Baja Trophy Truck,Unlimited Offroad,Series 18,"Backstage, Seasonal","""Hard to Find""",Honda Trophy '15," 500,000 ",EPIC,A 703,0
2021 SIERRA Cars 700R,UTV's,Series 18,"Backstage, Seasonal","""Hard to Find""",SIERRA 700R," 250,000 ",RARE,D 414,0
2021 Polaris RZR Pro XP Ultimate,UTV's,Series 18,"Backstage, Seasonal","""Hard to Find""",Polaris RZR Pro," 250,000 ",RARE,C 593,0
2021 Audi RS 6 Avant,Super Saloons,Series 20,"Backstage, Seasonal","""Hard to Find""",Audi RS 6 '21," 250,000 ",RARE,A 763,0
2019 DeBerti Ford Super Duty F-250 Lariat 'Transformer',Unlimited Offroad,Series 21,"Backstage, Seasonal","""Hard to Find""",DeBerti F-250," 250,000 ",EPIC,B 665,0
1986 Ford F-150 XLT Lariat,Pickups & 4x4s,Series 21,"Backstage, Seasonal","""Hard to Find""",Ford F-150 '86," 250,000 ",COMMON,D 357,0
1972 Chevrolet K10 Custom,Pickups & 4x4s,Series 21,"Backstage, Seasonal","""Hard to Find""",Chevy K10 '72," 250,000 ",COMMON,D 369,0
2022 GMC HUMMER EV Pickup,Pickups & 4x4s,Series 21,"Backstage, Seasonal","""Hard to Find""",HUMMER EV Truck," 250,000 ",EPIC,A 718,0
1991 GMC Syclone,Vans & Utility,Series 22,"Backstage, Seasonal","""Hard to Find""",GMC Syclone," 250,000 ",EPIC,C 548,0
1992 GMC Typhoon,Vans & Utility,Series 22,"Backstage, Seasonal","""Hard to Find""",GMC Typhoon," 250,000 ",EPIC,C 538,0
1970 Hot Wheels Pontiac Firebird Trans Am Custom,Track Toys,Series 23,"Backstage, Seasonal","""Hard to Find""",HW Trans Am," 300,000 ",LEGENDARY,S1 894,0
2018 DeBerti Ford Mustang GT,Modern Muscle,Series 23,"Backstage, Seasonal","""Hard to Find""",Ford Mustang DD," 500,000 ",EPIC,S1 824,0
1986 Lancia Delta S4,Retro Rally,Series 24,"Backstage, Seasonal","""Hard to Find""",Lancia Delta S4," 1,000,000 ",RARE,B 682,0
1980 Abarth Fiat 131,Classic Rally,Series 24,"Backstage, Seasonal","""Hard to Find""",Abarth 131," 250,000 ",COMMON,C 510,0
2016 Abarth 695 Biposto,Hot Hatch,Series 24,"Backstage, Seasonal","""Hard to Find""",Abarth 695 '16," 250,000 ",COMMON,B 657,0
2014 Alfa Romeo 4C,Modern Sports Cars,Series 24,"Backstage, Seasonal","""Hard to Find""",Alfa Romeo 4C," 250,000 ",RARE,A 755,0
2022 Rivian R1S,Sports Utility Heroes,Series 25,"Backstage, Seasonal","""Hard to Find""",Rivian R1S," 250,000 ",RARE,A 726,0
2021 BMW M3 Competition Sedan,Super Saloons,Series 25,"Backstage, Seasonal","""Hard to Find""",BMW M3 '21," 250,000 ",RARE,A 772,0
2022 BMW i4 eDrive40,Super Saloons,Series 25,"Backstage, Seasonal","""Hard to Find""",BMW i4 '22," 250,000 ",RARE,B 633,0
1995 BMW 850CSi,Retro Sports Cars,Series 25,"Backstage, Seasonal","""Hard to Find""",BMW 850CSi," 250,000 ",RARE,B 610,0
2022 BMW iX xDrive50,Sports Utility Heroes,Series 25,"Backstage, Seasonal","""Hard to Find""",BMW iX '22," 250,000 ",RARE,A 703,0
1951 Porsche #46 356 SL Gmünd Coupe,Classic Racers,Series 26,"Backstage, Seasonal","""Hard to Find""",Porsche 356 SL," 1,000,000 ",LEGENDARY,D 243,0
2022 Ford Bronco Raptor,Pickups & 4x4s,Series 26,"Backstage, Seasonal","""Dedication to the Cause"" accolade",Bronco Raptor," 250,000 ",EPIC,C 588,0
2023 Meyers Manx 2.0 EV,Buggies,Series 26,"Backstage, Seasonal","""Hard to Find""",Meyers Manx 2.0," 250,000 ",EPIC,B 649,0
2023 Lucid Air Sapphire,Super Saloons,Series 27,"Backstage, Wheelspin, Seasonal","""Hard to Find""",Lucid Air," 250,000 ",RARE,S1 884,0
1968 Pontiac Firebird,Classic Muscle,Series 27,"Backstage, Seasonal","""Hard to Find""",Firebird '68," 250,000 ",EPIC,C 533,0
2023 Chevrolet Corvette Z06,Track Toys,Series 27,"Backstage, Seasonal","""Hard to Find""",Corvette Z06 '23," 250,000 ",EPIC,S1 855,0
1966 Chevrolet Nova Super Sport,Classic Muscle,Series 27,"Backstage, Seasonal","""Hard to Find""",Chevy Nova '66," 250,000 ",COMMON,C 554,0
1962 Lincoln Continental,Rods and Customs,Series 27,"Backstage, Seasonal","""Hard to Find""",Continental '62," 250,000 ",EPIC,D 381,0
1969 Pontiac GTO Judge,Classic Muscle,Series 27,"Backstage, Seasonal","""Hard to Find""",Pontiac GTO '69," 250,000 ",RARE,C 545,0
2022 SUBARU BRZ,Modern Sports Cars,Series 28,"Backstage, Seasonal","""Hard to Find""",SUBARU BRZ '22," 250,000 ",EPIC,B 673,0
2018 Morgan Aero GT,Track Toys,Series 28,"Backstage, Seasonal","""Hard to Find""",Morgan Aero GT," 150,000 ",RARE,A 784,0
2000 Lotus 340R,Track Toys,Series 28,"Backstage, Seasonal","""Hard to Find""",Lotus 340R," 250,000 ",RARE,B 700,0
2011 Pagani Huayra Coupe,Hypercars,Series 29,"Backstage, Wheelspin, Seasonal","""Hard to Find""",Pagani Huayra," 1,400,000 ",LEGENDARY,S1 900,0
1969 FIAT Dino 2.4 Coupe,Classic Sports Cars,Series 29,"Backstage, Seasonal","""Hard to Find""",FIAT Dino," 250,000 ",RARE,D 498,0
2016 Spania GTA GTA Spano,Modern Supercars,Series 29,"Backstage, Seasonal","""Hard to Find""",GTA Spano," 800,000 ",EPIC,S2 915,0
2011 McLaren 12C Coupé,Modern Supercars,Series 29,"Backstage, Seasonal","""Hard to Find""",McLaren 12C," 250,000 ",EPIC,S1 832,0
2016 W Motors Lykan HyperSport,Hypercars,Series 29,"Backstage, Seasonal","""Hard to Find""",Lykan Hypersport," 3,000,000 ",LEGENDARY,S1 877,0
