Vehicle, Value ,Collection,Rarity,PI,Owned
Abarth Fiat 131 (1980)," 250,000 ","""Hard to Find""",COMMON,C 510,0
Abarth 695 Biposto (2016)," 250,000 ","""Hard to Find""",COMMON,B 657,0
Alfa Romeo 4C (2014)," 250,000 ","""Hard to Find""",RARE,A 755,0
Aston Martin Lagonda (1990)," 250,000 ","""Hard to Find""",RARE,C 502,0
Audi TT RS Coupe (2020)," 250,000 ","""Hard to Find""",RARE,A 765,0
Audi RS 6 Avant (2021)," 250,000 ","""Hard to Find""",RARE,A 763,0
Audi RS 7 Sportback (2021)," 250,000 ","""Hard to Find""",RARE,A 768,0
BMW M635CSi (1986)," 250,000 ","""Hard to Find""",COMMON,C 589,0
BMW 850CSi (1995)," 250,000 ","""Hard to Find""",RARE,B 610,0
BMW M3 GTS (2010)," 250,000 ","""Hard to Find""",EPIC,A 794,0
BMW M3 Competition Sedan (2021)," 250,000 ","""Hard to Find""",RARE,A 772,0
BMW M4 Competition Coupé (2021)," 250,000 ","""Hard to Find""",RARE,A 778,0
BMW i4 eDrive40 (2022)," 250,000 ","""Hard to Find""",RARE,B 633,0
BMW iX xDrive50 (2022)," 250,000 ","""Hard to Find""",RARE,A 703,0
BMW M5 CS (2022)," 250,000 ","""Hard to Find""",RARE,S1 827,0
Cadillac CTS-V Sport Wagon (2014)," 250,000 ","""Hard to Find""",RARE,A 724,0
Chevrolet Nova Super Sport (1966)," 250,000 ","""Hard to Find""",COMMON,C 554,0
Chevrolet K-10 Custom (1972)," 250,000 ","""Hard to Find""",COMMON,D 369,0
Chevrolet Corvette Z06 (2023)," 250,000 ","""Hard to Find""",EPIC,S1 855,0
Citroën BX 4TC (1986)," 250,000 ","""Hard to Find""",EPIC,C 567,0
DeBerti Chevrolet C10 'Slayer' (1965)," 250,000 ","""Hard to Find""",RARE,S1 802,0
DeBerti Ford Mustang GT (2018)," 500,000 ","""Hard to Find""",EPIC,S1 824,0
DeBerti Ford Super Duty F-250 Lariat 'Transformer' (2019)," 250,000 ","""Hard to Find""",EPIC,B 665,0
Dodge Challenger SRT Super Stock (2022)," 250,000 ","""Hard to Find""",RARE,S1 802,0
Donkervoort D8 GTO (2013)," 250,000 ","""Hard to Find""",LEGENDARY,S1 814,0
Extreme E #125 ABT Cupra XE (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E #22 JBXE (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E #23 Genesys Andretti United (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E #42 XITE Racing Team (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E #44 X44 (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E #5 Veloce Racing (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E #55 ACCIONA | Sainz XE Team (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E #58 McLaren Racing (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
