Vehicle, Value ,Collection,Rarity,PI,Owned
1980 Abarth Fiat 131 ," 250,000 ","""Hard to Find""",COMMON,C 510,0
2016 Abarth 695 Biposto ," 250,000 ","""Hard to Find""",COMMON,B 657,0
2014 Alfa Romeo 4C ," 250,000 ","""Hard to Find""",RARE,A 755,0
1990 Aston Martin Lagonda ," 250,000 ","""Hard to Find""",RARE,C 502,0
2020 Audi TT RS Coupe ," 250,000 ","""Hard to Find""",RARE,A 765,0
2021 Audi RS 6 Avant ," 250,000 ","""Hard to Find""",RARE,A 763,0
2021 Audi RS 7 Sportback ," 250,000 ","""Hard to Find""",RARE,A 768,0
1986 BMW M635CSi ," 250,000 ","""Hard to Find""",COMMON,C 589,0
1995 BMW 850CSi ," 250,000 ","""Hard to Find""",RARE,B 610,0
2010 BMW M3 GTS ," 250,000 ","""Hard to Find""",EPIC,A 794,0
2015 BMW X6 M ," 130,000 ",Wheelspin,EPIC,B 687,0
2021 BMW M3 Competition Sedan ," 250,000 ","""Hard to Find""",RARE,A 772,0
2021 BMW M4 Competition Coupé ," 250,000 ","""Hard to Find""",RARE,A 778,0
2022 BMW i4 eDrive40 ," 250,000 ","""Hard to Find""",RARE,B 633,0
2022 BMW iX xDrive50 ," 250,000 ","""Hard to Find""",RARE,A 703,0
2022 BMW M5 CS ," 250,000 ","""Hard to Find""",RARE,S1 827,0
2014 Cadillac CTS-V Sport Wagon ," 250,000 ","""Hard to Find""",RARE,A 724,0
1966 Chevrolet Nova Super Sport ," 250,000 ","""Hard to Find""",COMMON,C 554,0
1972 Chevrolet K-10 Custom ," 250,000 ","""Hard to Find""",COMMON,D 369,0
2023 Chevrolet Corvette Z06 ," 250,000 ","""Hard to Find""",EPIC,S1 855,0
1986 Citroën BX 4TC ," 250,000 ","""Hard to Find""",EPIC,C 567,0
1965 DeBerti Chevrolet C10 'Slayer' ," 250,000 ","""Hard to Find""",RARE,S1 802,0
2018 DeBerti Ford Mustang GT ," 500,000 ","""Hard to Find""",EPIC,S1 824,0
2019 DeBerti Ford Super Duty F-250 Lariat 'Transformer' ," 250,000 ","""Hard to Find""",EPIC,B 665,0
2022 Dodge Challenger SRT Super Stock ," 250,000 ","""Hard to Find""",RARE,S1 802,0
2013 Donkervoort D8 GTO ," 250,000 ","""Hard to Find""",LEGENDARY,S1 814,0
2022 Extreme E #125 ABT Cupra XE ," 700,000 ","""Hard to Find""",RARE,A 748,0
2022 Extreme E #22 JBXE ," 700,000 ","""Hard to Find""",RARE,A 748,0
2022 Extreme E #23 Genesys Andretti United ," 700,000 ","""Hard to Find""",RARE,A 748,0
2022 Extreme E #42 XITE Racing Team ," 700,000 ","""Hard to Find""",RARE,A 748,0
2022 Extreme E #44 X44 ," 700,000 ","""Hard to Find""",RARE,A 748,0
2022 Extreme E #5 Veloce Racing ," 700,000 ","""Hard to Find""",RARE,A 748,0
2022 Extreme E #55 ACCIONA | Sainz XE Team ," 700,000 ","""Hard to Find""",RARE,A 748,0
2022 Extreme E #58 McLaren Racing ," 700,000 ","""Hard to Find""",RARE,A 748,0
2022 Extreme E #6 Rosberg X Racing ," 700,000 ","""Hard to Find""",RARE,A 748,0
1992 Ferrari 512 TR ," 270,000 ","""Hard to Find""",EPIC,A 733,0
2002 Ferrari 575M Maranello ," 250,000 ","""Hard to Find""",EPIC,A 747,0
2010 Ferrari 599 GTO ," 350,000 ","""Hard to Find""",EPIC,S1 828,0
2014 Ferrari California T ," 250,000 ","""Hard to Find""",EPIC,A 784,0
2019 Ferrari F8 Tributo ," 750,000 ","""Hard to Find""",LEGENDARY,S1 891,0
2020 Ferrari SF90 Stradale ," 750,000 ","""Hard to Find""",LEGENDARY,S2 915,0
1969 FIAT Dino 2.4 Coupe ," 250,000 ","""Hard to Find""",RARE,D 498,0
1946 Ford Super Deluxe Station Wagon ," 250,000 ","""Hard to Find""",COMMON,D 124,0
1986 Ford F-150 XLT Lariat ," 250,000 ","""Hard to Find""",COMMON,D 357,0
1995 Ford Mustang SVT Cobra R ," 250,000 ","""Hard to Find""",COMMON,B 625,0
2022 Ford Bronco Raptor ," 250,000 ","""Dedication to the Cause"" accolade",EPIC,C 588,0
2023 Ford F-150 Raptor R ," 250,000 ","""Hard to Find""",EPIC,B 689,0
2024 Ford Mustang GT ," 250,000 ","""Hard to Find""",EPIC,A 739,0
1991 GMC Syclone ," 250,000 ","""Hard to Find""",EPIC,C 548,0
1992 GMC Typhoon ," 250,000 ","""Hard to Find""",EPIC,C 538,0
2022 GMC HUMMER EV Pickup ," 250,000 ","""Hard to Find""",EPIC,A 718,0
2022 Hennessey Mammoth 1000 6x6 TRX ," 450,000 ","""Starting the Journey"" accolade",LEGENDARY,B 697,0
1984 Honda Civic CRX Mugen ," 40,000 ",Midnight Battle 2,EPIC,D 499,0
2015 Honda Ridgeline Baja Trophy Truck ," 500,000 ","""Hard to Find""",EPIC,A 703,0
1965 Hoonigan Gymkhana 10 Ford Hoonicorn Mustang ," 500,000 ","""Hard to Find""",EPIC,S2 952,0
1970 Hot Wheels Pontiac Firebird Trans Am Custom ," 300,000 ","""Hard to Find""",LEGENDARY,S1 894,0
2022 Hyundai N Vision 74 ," 250,000 ","""Hard to Find""",RARE,A 799,0
2015 Jaguar XKR-S GT ," 250,000 ","""Hard to Find""",EPIC,A 778,0
2016 Jaguar F-TYPE Project 7 ," 190,000 ","Wheelspin, ""The Serious 7"" accolade",EPIC,A 786,0
2020 Jaguar F-TYPE SVR ," 250,000 ","""Hard to Find""",RARE,S1 806,0
2006 Koenigsegg CCX ," 600,000 ","""Hard to Find""",LEGENDARY,S1 870,0
2008 Koenigsegg CCGT ," 1,000,000 ",Wheelspin,LEGENDARY,S2 965,0
2011 Koenigsegg Agera ," 1,500,000 ","""Hard to Find""",LEGENDARY,S1 895,0
2018 KTM X-Bow GT4 ," 400,000 ","""Hard to Find""",EPIC,S1 845,0
2018 Lamborghini Aventador SVJ ," 500,000 ","""Hard to Find""",LEGENDARY,S1 889,0
2021 Lamborghini Countach LPI 800-4 ," 2,750,000 ","""Hard to Find""",LEGENDARY,S1 865,0
2023 Lamborghini Huracán Sterrato ," 250,000 ","""Master of Worlds"" accolade",LEGENDARY,S1 836,0
2024 Lamborghini Revuelto ," 250,000 ","""Horizon Stadium Circuit Pro"" accolade",LEGENDARY,S2 905,0
1968 Lancia Fulvia Coupé Rallye 1.6 HF ," 250,000 ","""Hard to Find""",RARE,C 526,0
1986 Lancia Delta S4 ," 1,000,000 ","""Hard to Find""",RARE,B 682,0
1962 Lincoln Continental ," 250,000 ","""Hard to Find""",EPIC,D 381,0
1980 Lotus Esprit Turbo ," 250,000 ","""Hard to Find""",RARE,C 538,0
2000 Lotus 340R ," 250,000 ","""Hard to Find""",RARE,B 700,0
2018 Lotus Exige Cup 430 ," 250,000 ","""Halfway Point"" accolade",EPIC,S1 833,0
2023 Lucid Air Sapphire ," 250,000 ","""Hard to Find""",RARE,S1 884,0
2011 McLaren 12C Coupé ," 250,000 ","""Hard to Find""",EPIC,S1 832,0
2014 McLaren 650S Spider ," 420,000 ","""Hard to Find""",EPIC,S1 856,0
2021 McLaren 765LT ," 400,000 ","""Hard to Find""",EPIC,S2 913,0
2023 McLaren Artura ," 285,000 ","""Hard to Find""",EPIC,S1 860,0
2006 Mercedes-Benz E 55 AMG Wagon ," 250,000 ","""Hard to Find""",RARE,B 698,0
2009 Mercedes-Benz SL 65 AMG Black Series ," 300,000 ","""Hard to Find""",EPIC,A 800,0
2023 Meyers Manx 2.0 EV ," 250,000 ","""Hard to Find""",EPIC,B 649,0
2015 MG MG3 ," 250,000 ","""Hard to Find""",RARE,D 444,0
2020 MG #20 MG6 XPower ," 250,000 ","""Hard to Find""",RARE,A 800,0
1998 Mitsubishi FTO GP Version R ," 250,000 ","""Hard to Find""",COMMON,C 585,0
2018 Morgan Aero GT ," 150,000 ","""Hard to Find""",RARE,A 784,0
1953 Morris Minor Series II Traveler ," 250,000 ","""Master Explorer"" accolade",COMMON,D 100,0
1965 Morris Mini-Traveller ," 250,000 ","""Hard to Find""",COMMON,D 100,0
2018 Nissan Sentra NISMO ," 250,000 ","""Hard to Find""",COMMON,C 591,0
2020 Nissan GT-R NISMO (R35) ," 250,000 ","""Hard to Find""",EPIC,S1 846,0
2024 Nissan Z NISMO ," 250,000 ","""Hard to Find""",EPIC,A 765,0
2011 Pagani Huayra Coupe ," 1,400,000 ","""Hard to Find""",LEGENDARY,S1 900,0
1984 Peugeot 205 Turbo 16 ," 200,000 ","Wheelspin, ""Técnicos"" accolade",LEGENDARY,B 616,0
2021 Polaris RZR Pro XP Ultimate ," 250,000 ","""Hard to Find""",RARE,C 593,0
1968 Pontiac Firebird ," 250,000 ","""Hard to Find""",EPIC,C 533,0
1969 Pontiac GTO Judge ," 250,000 ","""Hard to Find""",RARE,C 545,0
1951 Porsche #46 356 SL Gmünd Coupe ," 1,000,000 ","""Hard to Find""",LEGENDARY,D 243,0
1964 Porsche 356 C Cabriolet Emory Special ," 400,000 ","""Hard to Find""",EPIC,B 651,0
