Brand,Vehicle,Year, Value ,Collection,Rarity,PI,Owned
Alfa Romeo,Giulia TZ2 ,1965," 4,000,000 ",Autoshow,LEGENDARY,B 641,0
Alfa Romeo,33 Stradale ,1968," 15,000,000 ",Autoshow,LEGENDARY,A 707,0
Aston Martin,DBR1 ,1958," 22,500,000 ",Autoshow,LEGENDARY,B 678,0
Auto Union,Type D ,1939," 15,000,000 ","Autoshow, ""Fairy Tale Ending"" accolade",LEGENDARY,B 675,0
Bentley,Blower 4-1/2 Litre Supercharged ,1931," 4,000,000 ","Autoshow, Wheelspin",LEGENDARY,D 207,0
Brabham,BT62 ,2019," 1,500,000 ","HW Academy: ""Double Trouble"", Autoshow (DLC: Hot Wheels)",LEGENDARY,S2 974,0
Bugatti,Chiron ,2018," 2,400,000 ","Autoshow, Wheelspin",LEGENDARY,S2 927,0
Extreme E,#99 Chip Ganassi Racing GMC Hummer EV ,2022," 700,000 ",Autoshow,RARE,A 748,0
Ferrari,250 GT Berlinetta Lusso ,1962," 2,600,000 ",Autoshow,LEGENDARY,C 590,0
Ferrari,F40 ,1987," 1,200,000 ","Autoshow, Wheelspin",LEGENDARY,A 784,0
Ferrari,F50 ,1995," 2,000,000 ","Autoshow, Wheelspin",LEGENDARY,A 789,0
Ferrari,F50 GT ,1996," 2,000,000 ","Autoshow, Wheelspin",LEGENDARY,S2 976,0
Ferrari,599XX Evolution ,2012," 2,600,000 ","Autoshow, Wheelspin",LEGENDARY,S2 952,0
Ferrari,FXX K ,2014," 2,700,000 ","Autoshow, Wheelspin",LEGENDARY,S2 979,0
Ford,#11 Rockstar F-150 Trophy Truck ,2014," 500,000 ","Autoshow, Wheelspin",EPIC,A 731,0
Ford,#25 Mustang RTR ,2018," 500,000 ","Autoshow, Wheelspin",EPIC,S1 834,0
Ford,#88 Mustang RTR ,2018," 500,000 ","Autoshow, Wheelspin",EPIC,S1 834,0
Hennessey,Venom F5 ,2021," 3,000,000 ","HW Academy: ""Fresh Orange Routes"", Autoshow (DLC: Hot Wheels)",LEGENDARY,S2 964,0
Hoonigan,Gymkhana 10 Ford Escort Cosworth Group A ,1991," 500,000 ","Autoshow, Wheelspin",EPIC,S1 862,0
Jaguar,C-Type ,1953," 5,000,000 ",Autoshow,LEGENDARY,C 599,0
Jaguar,D-Type ,1956," 22,000,000 ","Autoshow, Wheelspin, ""Sold Out"" accolade",LEGENDARY,B 630,0
Koenigsegg,Agera RS ,2017," 2,000,000 ","Autoshow, Wheelspin",LEGENDARY,S2 980,0
Lotus,Evija ,2020," 2,500,000 ","Autoshow, ""Horizon Arcade Fan"" accolade",LEGENDARY,S2 994,0
Maserati,MC12 Versione Corsa ,2008," 2,500,000 ","Autoshow, Wheelspin",LEGENDARY,S2 961,0
Porsche,906 Carrera 6 ,1966," 2,000,000 ",Autoshow,LEGENDARY,A 732,0
Porsche,959,1987," 2,000,000 ","Autoshow, Wheelspin",LEGENDARY,A 764,0
Porsche,911 Reimagined by Singer - DLS ,1990," 1,800,000 ",Autoshow,EPIC,S1 830,0
SIERRA Cars,#23 Yokohama Alpha ,2020," 70,000 ","HW Academy: ""Hot Wheels Legend"", Autoshow (DLC: Hot Wheels)",EPIC,S2 986,0
