Brand,Vehicle,Year,Value,Collection,Rarity,PI
Abarth,595 esseesse ,1968,25000,"Autoshow, Wheelspin",COMMON,D 100
Abarth,Fiat 131 ,1980,125000,"Autoshow, Wheelspin",COMMON,D 399
Abarth,695 Biposto ,2016,250000,"""Hard to Find""",COMMON,B 540
Abarth,124 Spider ,2017,250000,"""Hard to Find""",RARE,C 450
Acura,Integra Type R ,2001,25000,"Autoshow, Wheelspin",COMMON,C 471
Acura,RSX Type S ,2002,18000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,C 462
Acura,NSX Type S ,2022,193000,Earn the Blue wristband,EPIC,S1 734
Acura,Integra A-Spec ,2023,36000,"Autoshow, Wheelspin, Aftermarket Car",RARE,C 484
Alfa Romeo,Giulia Sprint GTA Stradale ,1965,343000,"Autoshow, Wheelspin",RARE,D 379
Alfa Romeo,Giulia TZ2 ,1965,1200000,"Earn 4,500 points in the ""Horizon Promo"" category in the Collection Journal",LEGENDARY,B 532
Alfa Romeo,33 Stradale ,1968,3500000,"Autoshow, Wheelspin",LEGENDARY,B 593
Alfa Romeo,Autodelta Tipo 33/2 Daytona ,1968,1000000,Autoshow (DLC: Car Pass),EPIC,A 696
Alfa Romeo,SE 048SP ,1990,1000000,Autoshow (DLC: Italian Passion Car Pack),LEGENDARY,R 978
Alfa Romeo,155 Q4 ,1992,30000,Autoshow,EPIC,C 439
Alfa Romeo,8C Competizione ,2007,312000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,A 635
Alfa Romeo,4C ,2014,73000,Autoshow,EPIC,A 644
Alfa Romeo,Giulia Quadrifoglio ,2017,45000,"Autoshow, Wheelspin, Aftermarket Car",RARE,A 667
Alfa Romeo,Giulia GTAm ,2021,225000,Autoshow (DLC: Italian Passion Car Pack),RARE,S1 711
Alumicraft,Class 10 Race Car ,2015,45000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,B 532
Alumicraft,#122 Class 1 Buggy ,2021,160000,"Autoshow, Wheelspin",EPIC,B 571
Alumicraft,#6165 Trick Truck ,2022,300000,"Autoshow, Wheelspin",EPIC,C 485
AMG Transport Dynamics,M12S Warthog CST ,2554,850000,"Autoshow, Earn 1,500 points in the ""Danger Signs"" category in the Collection Journal",LEGENDARY,A 663
Apollo,Intensa Emozione ,2019,3200000,Wheelspin,LEGENDARY,R 916
Ariel,Atom 500 V8 ,2013,190000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,S2 825
Ariel,Nomad ,2016,54000,"Autoshow, Wheelspin, Earn 100 points in the ""Bonus Boards"" category in the Collection Journal",RARE,A 601
Aston Martin,DB5 ,1964,500000,Autoshow,EPIC,C 417
Aston Martin,DB7 GT ,2003,80000,Autoshow (DLC: Car Pass),RARE,B 566
Aston Martin,Vulcan ,2016,2300000,"Autoshow, Wheelspin, Loyalty Reward",LEGENDARY,S2 884
Aston Martin,DB11 ,2017,175000,"Autoshow, Wheelspin",EPIC,A 679
Aston Martin,Vulcan AMR Pro ,2017,3000000,"Autoshow, Wheelspin",LEGENDARY,S2 898
Aston Martin,DBS Superleggera ,2019,275000,Wheelspin,EPIC,S1 736
Aston Martin,Valhalla Concept Car ,2019,1150000,Wheelspin,LEGENDARY,R 960
Aston Martin,Vantage ,2019,250000,Autoshow,EPIC,A 696
Aston Martin,DBX ,2021,250000,"""Hard to Find""",RARE,A 618
Aston Martin,Valkyrie AMR Pro ,2022,4200000,"Autoshow, Wheelspin, Earn 2,500 points in the ""Horizon Legend"" category in the Collection Journal",LEGENDARY,R 989
Aston Martin,Valkyrie ,2023,2750000,"Autoshow, Wheelspin",LEGENDARY,R 925
Audi,Sport quattro ,1983,650000,Wheelspin,EPIC,B 526
Audi,#2 Audi Sport quattro S1 ,1986,750000,"Autoshow, Wheelspin",LEGENDARY,S1 726
Audi,RS 4 Avant ,2001,175000,"Autoshow, Wheelspin",COMMON,B 544
Audi,RS 6 ,2003,35000,"Autoshow, Wheelspin",RARE,B 556
Audi,RS 4 ,2006,75000,"Autoshow, Wheelspin",RARE,B 593
Audi,R8 LMS ,2009,900000,"Autoshow, Wheelspin",RARE,S2 810
Audi,RS 6 ,2009,42000,"Autoshow, Wheelspin",EPIC,B 598
Audi,TT RS Coupé ,2010,35000,"Autoshow, Wheelspin",RARE,B 593
Audi,RS 3 Sportback ,2011,20000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,B 565
Audi,RS 5 Coupé ,2011,25000,"Autoshow, Wheelspin",RARE,A 613
Audi,R8 Coupé V10 plus 5.2 FSI quattro ,2013,100000,"Earn 2,700 points in the ""Day Trips"" category in the Collection Journal",EPIC,A 694
Audi,RS 4 Avant ,2013,30000,"Autoshow, Wheelspin",RARE,A 607
Audi,RS 7 Sportback ,2013,55000,"Autoshow, Wheelspin",EPIC,A 620
Audi,RS 6 Avant ,2015,60000,"Autoshow, Wheelspin",RARE,A 640
Audi,S1 ,2015,21000,"Autoshow, Wheelspin",COMMON,B 527
Audi,R8 V10 plus ,2016,160000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,S1 731
Audi,RS 4 Avant ,2018,50000,"Autoshow, Wheelspin",RARE,A 637
Audi,R8 V10 performance ,2020,281000,"Autoshow, Wheelspin",RARE,S1 738
Audi,RS 3 Sedan ,2020,52000,"Autoshow, Wheelspin",RARE,A 617
Audi,RS 6 Avant ,2021,83000,"Autoshow, Wheelspin",RARE,A 650
Audi,RS 7 Sportback ,2021,80000,"Autoshow, Wheelspin",RARE,A 655
Audi,RS e-tron GT ,2021,95000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,A 677
Audi,R8 Coupé V10 GT RWD ,2023,250000,Autoshow (DLC: Car Pass),EPIC,S1 769
Austin-Healey,3000 MkIII ,1965,75000,"Autoshow, Wheelspin",COMMON,D 352
Autozam,AZ-1 ,1993,38000,"Autoshow, Wheelspin, Aftermarket Car",RARE,D 342
BAC,Mono ,2014,196000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,S1 766
Bentley,Bentayga ,2016,250000,Wheelspin,EPIC,A 612
Bentley,Continental GT Convertible ,2021,170000,"Autoshow, Wheelspin, Aftermarket Car, Earn 1,200 points in ""Car Collection"" category in the Collection Journal",RARE,A 649
BMW,Isetta 300 Export ,1957,84000,"Autoshow, Wheelspin",COMMON,D 100
BMW,2002 Turbo ,1973,127000,"Autoshow, Wheelspin",LEGENDARY,C 425
BMW,M1 ,1981,600000,Treasure Car: North Hokubu,TREASURE CAR,B 510
BMW,M3 ,1988,250000,"Autoshow, Wheelspin",RARE,C 474
BMW,M5 ,1988,70000,"Autoshow, Wheelspin",RARE,C 469
BMW,850CSi ,1995,135000,"Autoshow, Wheelspin",RARE,C 493
BMW,M5 ,1995,48000,"Autoshow, Wheelspin",RARE,B 516
BMW,M3 ,1997,30000,"Autoshow, Wheelspin",COMMON,B 549
BMW,M5 ,2003,47000,"Autoshow, Wheelspin",COMMON,B 580
BMW,M3 ,2005,35000,"Autoshow, Wheelspin",COMMON,B 554
BMW,M3 ,2008,43000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,A 608
BMW,Z4 M Coupé ,2008,63000,"Autoshow, Wheelspin",RARE,B 579
BMW,M5 ,2009,54000,"Autoshow, Wheelspin",RARE,B 595
BMW,M3 GTS ,2010,198000,"Autoshow, Wheelspin",EPIC,A 678
BMW,X5 M ,2011,24000,"Autoshow, Wheelspin",COMMON,B 546
BMW,M5 ,2012,40000,"Autoshow, Wheelspin",RARE,A 652
BMW,M4 Coupé ,2014,55000,"Autoshow, Wheelspin",RARE,A 679
BMW,i8 ,2015,70000,"Autoshow, Wheelspin",RARE,A 665
BMW,M4 GTS ,2016,125000,"Autoshow, Wheelspin",EPIC,S1 711
BMW,Z4 Roadster ,2019,38000,"Autoshow, Wheelspin, Earn 200 points in the ""Speed Zones"" category in the Collection Journal",COMMON,A 634
BMW,M2 Competition Coupé ,2020,250000,"Wheelspin, Earn the Yellow wristband",EPIC,A 656
BMW,M8 Competition Coupé ,2020,100000,"Autoshow, Wheelspin, Aftermarket Car",RARE,A 684
BMW,M4 Competition Coupé ,2021,64000,"Autoshow, Wheelspin",RARE,A 666
BMW,M4 Competition Coupé 'Welcome Pack' ,2021,150000,Autoshow (DLC: Welcome Pack),LEGENDARY,S1 800
BMW,iX xDrive50 ,2022,37000,"Autoshow, Wheelspin",RARE,B 595
BMW,M5 CS ,2022,150000,"Autoshow, Wheelspin",RARE,S1 730
BMW,M2 ,2023,67000,"Autoshow, Wheelspin",RARE,A 647
