Brand,Vehicle,Year,Value,Collection,Rarity,PI
Toyota,Sports 800 ,1965,250000,"Wheelspin, Earn 4,000 points in the ""Regional Mascots"" category in the Collection Journal",RARE,D 141
Aston Martin,DBS Superleggera ,2019,275000,Wheelspin,EPIC,S1 736
Audi,Sport quattro ,1983,650000,Wheelspin,EPIC,B 526
BMW,M2 Competition Coupé ,2020,250000,"Wheelspin, Earn the Yellow wristband",EPIC,A 656
Bentley,Bentayga ,2016,250000,Wheelspin,EPIC,A 612
Casey Currie Motorsports,#4402 Ultra 4 'Trophy Jeep' ,2019,250000,Wheelspin,EPIC,A 641
Chevrolet,Corvette ,1960,250000,Wheelspin,EPIC,C 428
Chevrolet,Corvette ZR1 ,2019,250000,Wheelspin,EPIC,S1 778
Dodge,Challenger R/T ,1970,525000,Wheelspin,EPIC,C 443
Dodge,Viper ACR ,2016,290000,Wheelspin,EPIC,S1 786
Ferrari,512 TR ,1992,350000,Wheelspin,EPIC,A 615
Ferrari,F355 Berlinetta ,1994,250000,Wheelspin,EPIC,B 588
Ford,Ranger T6 Rally Raid ,2014,350000,Wheelspin,EPIC,B 530
Ford,M-Sport Fiesta RS ,2017,250000,Wheelspin,EPIC,S1 707
Ford,F-150 Lightning ,2022,250000,Wheelspin,EPIC,C 500
Formula Drift,#43 Dodge Viper SRT10 ,2006,250000,Wheelspin,EPIC,S1 748
Formula Drift,#13 Ford Mustang ,2015,250000,Wheelspin,EPIC,S1 739
Jaguar,E-type ,1961,250000,Wheelspin,EPIC,C 414
Lamborghini,Diablo GTR ,1999,680000,Wheelspin,EPIC,S2 823
Lamborghini,Aventador LP700-4 ,2012,345000,Wheelspin,EPIC,S1 753
McLaren,620R ,2021,260000,Wheelspin,EPIC,S1 773
Mercedes-AMG,GT 4-Door Coupé ,2018,250000,Wheelspin,EPIC,A 664
Mercedes-Benz,G 63 AMG 6x6 ,2014,780000,Wheelspin,EPIC,C 489
Nissan,240SX ,1993,250000,Wheelspin,EPIC,D 339
Porsche,911 GT2 ,1995,1100000,Wheelspin,EPIC,A 644
Porsche,911 GT3 RS ,2019,250000,Wheelspin,EPIC,S1 760
RJ Anderson,#37 Polaris RZR Pro 4 Truck ,2021,250000,Wheelspin,EPIC,A 677
Apollo,Intensa Emozione ,2019,3200000,Wheelspin,LEGENDARY,R 916
Aston Martin,Valhalla Concept Car ,2019,1150000,Wheelspin,LEGENDARY,R 960
Dodge,Dart HEMI Super Stock ,1968,300000,Wheelspin,LEGENDARY,B 540
Ferrari,288 GTO ,1984,2800000,Wheelspin,LEGENDARY,A 643
Ferrari,599XX Evolution ,2012,3200000,Wheelspin,LEGENDARY,S2 894
Ferrari,F8 Tributo ,2019,333000,Wheelspin,LEGENDARY,S2 802
Hennessey,Venom GT ,2012,1400000,Wheelspin,LEGENDARY,S2 845
Koenigsegg,One:1 ,2015,3750000,Wheelspin,LEGENDARY,S2 890
Lamborghini,Sesto Elemento ,2011,2500000,Wheelspin,LEGENDARY,S2 871
Mercedes-Benz,AMG CLK GTR ,1998,3600000,Wheelspin,LEGENDARY,S1 713
Rimac,Nevera ,2021,2250000,Wheelspin,LEGENDARY,R 913
Ford,Mustang GT 2+2 Fastback Forza Edition ,1968,500000,Wheelspin,FORZA EDITION,A 700
Ford,F-150 XLT Lariat Forza Edition ,1986,500000,Wheelspin,FORZA EDITION,S2 850
Ford,Super Duty F-450 DRW PLATINUM Forza Edition ,2020,500000,Wheelspin,FORZA EDITION,A 700
Mercedes-Benz,190E 2.5-16 Evolution II Forza Edition ,1990,750000,Wheelspin,FORZA EDITION,A 700
Nissan,S-Cargo Forza Edition ,1989,500000,Wheelspin,FORZA EDITION,S1 800
Nissan,GT-R Black Edition (R35) Forza Edition ,2012,750000,Wheelspin,FORZA EDITION,S2 850
Porsche,#3 917 LH Forza Edition ,1970,1250000,Wheelspin,FORZA EDITION,R 998
Wuling,Sunshine S Forza Edition ,2020,500000,Wheelspin,FORZA EDITION,S1 800
