,Vehicle,Value,Rarity,PI
625,"Wuling Sunshine S 2013Autoshow, Wheelspin",2000,RARE,D107
623,"Wuling Hongguang Mini EV 2022Autoshow, Wheelspin, Aftermarket Car",5000,RARE,D100
285,"Honda City E II 1984Autoshow, Wheelspin, Aftermarket Car, Earn 500 points in ""Yuji's Auto"" category in the Collection Journal",7500,EPIC,D203
277,"Honda Acty 1994Autoshow, Wheelspin, Earn 750 points in the ""Tokyo City Food Delivery"" category in the Collection Journal",9000,COMMON,D100
564,"Subaru Vivio RX-R 1994Autoshow, Wheelspin, Aftermarket Car",10000,EPIC,D281
559,"Subaru LEGACY B4 2.0 GT 2005Autoshow, Wheelspin",10000,COMMON,B549
581,"Toyota Crown Super Deluxe Taxi 2005Autoshow, Wheelspin",10000,COMMON,D181
595,"Toyota Sera 1991Autoshow, Wheelspin",11000,RARE,D344
582,"Toyota Celica Sport Specialty II 2003Autoshow, Wheelspin",12000,RARE,C433
562,"Subaru SVX 1996Autoshow, Wheelspin, Aftermarket Car",13000,COMMON,C466
532,"Renault Megane RS 250 2010Autoshow, Wheelspin",14000,COMMON,B538
281,"Honda Beat 1991Autoshow, Wheelspin, Earn 250 points in the ""Regional Mascots"" category in the Collection Journal",15000,RARE,D283
373,"Mazda MX-5 Miata 1994Autoshow, Wheelspin, Aftermarket Car",15000,COMMON,D329
214,"Ford Crown Victoria Police Interceptor 2010Autoshow, Wheelspin",15000,COMMON,D354
276,"Honda Prelude Si 1994Autoshow, Wheelspin, Earn 250 points in the ""Photography"" category in the Collection Journal",15000,COMMON,C410
272,"Honda Civic Type R 2004Autoshow, Wheelspin, Aftermarket Car",15000,COMMON,C480
612,"Volkswagen Scirocco R 2011Autoshow, Wheelspin",15000,RARE,B548
457,"Nissan Gloria Gran Turismo 1995Autoshow, Wheelspin",15000,RARE,C498
565,"Subaru LEGACY RS 1990Autoshow, Wheelspin, Aftermarket Car",15000,COMMON,C406
580,"Toyota 86 2013Autoshow, Wheelspin",15800,RARE,C460
306,"Jeep Wrangler Rubicon 2012Autoshow, Wheelspin",16000,COMMON,D350
98,"Can-Am Maverick X RS Turbo R 2018Autoshow, Wheelspin",16000,COMMON,B568
618,"Volkswagen Pickup LX 1982Autoshow, Wheelspin",16000,EPIC,D100
268,"Honda Civic Type R 2007Autoshow, Wheelspin",17000,COMMON,C454
620,"Volkswagen Beetle 1963Autoshow, Wheelspin, Aftermarket Car",17000,LEGENDARY,D100
586,"Toyota Soarer 2.5 GT-T 1997Autoshow, Wheelspin, Earn 250 points in the ""Garages"" category in the Collection Journal",18000,RARE,C491
6,"Acura RSX Type S 2002Autoshow, Wheelspin, Aftermarket Car",18000,COMMON,C462
446,"Nissan Fairlady Z 2003Autoshow, Wheelspin, Aftermarket Car",18000,COMMON,B534
617,"Volkswagen Golf GTI 1983Autoshow, Wheelspin",18000,COMMON,D314
469,"Nissan S-Cargo 1989Autoshow, Wheelspin, Aftermarket Car",19000,RARE,D131
456,"Nissan Stagea RS FOUR V 1997Autoshow, Wheelspin, Aftermarket Car",20000,EPIC,C439
431,"Mitsubishi GTO 1997Autoshow, Wheelspin, Aftermarket Car",20000,COMMON,C495
566,"Subaru BRAT GL 1980Autoshow, Wheelspin",20000,COMMON,D159
295,"Hyundai Veloster N 2019Autoshow, Wheelspin, Aftermarket Car",20000,EPIC,B532
114,"Chevrolet Camaro Z28 1979Autoshow, Wheelspin",20000,RARE,D364
458,"Nissan Silvia K's 1994Autoshow, Wheelspin",20000,COMMON,C499
49,"Audi RS 3 Sportback 2011Autoshow, Wheelspin, Aftermarket Car",20000,COMMON,B565
594,"Toyota Chaser GT Twin Turbo 1991Autoshow, Wheelspin",20000,RARE,C484
613,"Volkswagen Golf R 2010Autoshow, Wheelspin",20000,RARE,B526
44,"Audi S1 2015Autoshow, Wheelspin",21000,COMMON,B527
484,"Peel P50 1962Autoshow, Wheelspin, Aftermarket Car",21000,LEGENDARY,D100
371,"Mazda Mazdaspeed MX-5 2005Autoshow, Wheelspin",21000,COMMON,C469
615,"Volkswagen Golf Gti 16v Mk2 1992Autoshow, Wheelspin",22000,COMMON,D308
488,"Peugeot 205 Rallye 1991Autoshow, Wheelspin",22000,RARE,D350
453,"Nissan Silvia K's Aero 1998Autoshow, Wheelspin, Aftermarket Car",22000,COMMON,C494
291,"Hyundai IONIQ 5 N 2023Autoshow, Wheelspin",22000,RARE,A657
376,"Mazda Savanna RX-7 1990Autoshow, Wheelspin",23000,EPIC,C451
77,"BMW X5 M 2011Autoshow, Wheelspin",24000,COMMON,B546
577,"Toyota JPN Taxi 2017Autoshow, Wheelspin",25000,COMMON,D248
48,"Audi RS 5 Coupé 2011Autoshow, Wheelspin",25000,RARE,A613
407,"Mercedes-Benz A 45 AMG 2013Autoshow, Wheelspin",25000,RARE,B582
555,"Subaru BRZ 2013Autoshow, Wheelspin, Aftermarket Car",25000,COMMON,C463
3,"Abarth 595 esseesse 1968Autoshow, Wheelspin",25000,COMMON,D100
495,"Pontiac Firebird Trans Am GTA 1987Autoshow, Wheelspin",25000,COMMON,D382
551,"Subaru WRX 2022Autoshow, Wheelspin",25000,EPIC,B538
7,"Acura Integra Type R 2001Autoshow, Wheelspin",25000,COMMON,C471
436,"Mitsubishi Galant VR-4 1992Autoshow, Wheelspin",25000,RARE,C432
435,"Mitsubishi Montero Exceed 2800 TD 1995Autoshow, Wheelspin",25000,RARE,D190
425,"Mitsubishi Lancer Evolution X GSR 2008Autoshow, Wheelspin, Aftermarket Car",25000,RARE,B534
369,"Mazda Mazdaspeed 3 2010Autoshow, Wheelspin",25000,COMMON,B536
193,"Ford Fiesta ST 2023Autoshow, Wheelspin, Aftermarket Car",26000,COMMON,C500
554,"Subaru WRX STI 2015Autoshow, Wheelspin",27000,COMMON,B555
557,"Subaru IMPREZA WRX STI 2008Autoshow, Wheelspin, Aftermarket Car",27000,RARE,B539
556,"Subaru WRX STI 2011Autoshow, Wheelspin",27000,RARE,B547
590,"Toyota Celica GT-Four ST205 1994Autoshow, Wheelspin, Complete the Prologue",27000,COMMON,C479
611,"Volkswagen Golf R 2014Autoshow, Wheelspin",27000,COMMON,B536
550,"Subaru BRZ 2022Autoshow, Wheelspin",28000,EPIC,B551
465,"Nissan Pulsar GTI-R 1990Autoshow, Wheelspin, Aftermarket Car",28000,RARE,C486
571,"Toyota GR86 2022Autoshow, Wheelspin, Earn the Yellow Wristband",28000,COMMON,B556
592,"Toyota Supra 2.0 GT 1992Autoshow, Wheelspin",28000,RARE,C454
367,"Mazda MX-5 2013Autoshow, Wheelspin",28000,COMMON,C432
589,"Toyota MR2 GT 1995Autoshow, Wheelspin, Aftermarket Car",28000,RARE,B522
609,"Volkswagen Golf R 2021Autoshow, Wheelspin, Aftermarket Car",29000,COMMON,B546
364,"Mazda MX-5 Miata RF 2022Autoshow, Wheelspin, Aftermarket Car",29000,EPIC,B509
598,"Toyota Sprinter Trueno GT Apex 1985Autoshow, Wheelspin",30000,EPIC,D376
47,"Audi RS 4 Avant 2013Autoshow, Wheelspin",30000,RARE,A607
265,"Honda Civic Type R 2015Autoshow, Wheelspin, Aftermarket Car",30000,COMMON,B585
429,"Mitsubishi Lancer Evolution VIII MR 2004Autoshow, Wheelspin, Aftermarket Car",30000,RARE,B555
263,"Honda e 2022Autoshow, Wheelspin",30000,COMMON,D398
614,"Volkswagen Corrado VR6 1995Autoshow, Wheelspin",30000,COMMON,C426
423,"MINI John Cooper Works GP 2012Autoshow, Wheelspin",30000,RARE,B509
275,"Honda Civic Type R 1997Autoshow, Wheelspin, Aftermarket Car",30000,COMMON,C430
521,"Porsche 944 Turbo 1989Autoshow, Wheelspin",30000,RARE,B539
84,"BMW M3 1997Autoshow, Wheelspin",30000,COMMON,B549
622,"Volvo 242 Turbo Evolution 1983Autoshow, Wheelspin, Aftermarket Car",30000,COMMON,C435
111,"Chevrolet Impala Super Sport 1996Autoshow, Wheelspin",30000,COMMON,C407
560,"Subaru IMPREZA WRX STI 2004Autoshow, Wheelspin, Aftermarket Car",30000,COMMON,B552
221,"Ford Racing Puma 1999Autoshow, Wheelspin",30000,RARE,C401
113,"Chevrolet Monte Carlo Super Sport 1988Autoshow, Wheelspin",30000,COMMON,D282
534,"Renault Clio Williams 1993Autoshow, Wheelspin",30000,COMMON,D400
531,"Renault Megane R.S. 2018Autoshow, Wheelspin, Aftermarket Car",32000,RARE,B547
294,"Hyundai i30 N 2020Autoshow, Wheelspin",32000,RARE,B553
110,"Chevrolet Corvette Z06 2002Autoshow, Wheelspin",33000,COMMON,A602
368,"Mazda RX-8 R3 2011Autoshow, Wheelspin, Aftermarket Car",33000,RARE,B508
402,"Mercedes-AMG C 63 S Coupé 2016Autoshow, Wheelspin",34000,RARE,A645
195,"Ford Focus ST 2022Autoshow, Wheelspin",34000,COMMON,B594
576,"Toyota Tacoma TRD Pro 2019Autoshow, Wheelspin",34000,RARE,C409
418,"Meyers Manx 1971Autoshow, Wheelspin",34000,EPIC,D201
348,"Lexus RC F 2015Autoshow, Wheelspin",35000,RARE,A623
434,"Mitsubishi Eclipse GSX 1995Autoshow, Wheelspin, Aftermarket Car",35000,COMMON,C436
619,"Volkswagen Class 5/1600 Baja Bug 1969Autoshow, Wheelspin",35000,RARE,D260
54,"Audi RS 6 2003Autoshow, Wheelspin",35000,RARE,B556
50,"Audi TT RS Coupé 2010Autoshow, Wheelspin",35000,RARE,B593
608,"Volkswagen Golf R 2022Autoshow, Wheelspin",35000,RARE,B548
82,"BMW M3 2005Autoshow, Wheelspin",35000,COMMON,B554
202,"Ford Mustang RTR Spec 5 2018Autoshow, Wheelspin",35000,RARE,A648
264,"Honda Civic Type R 2018Autoshow, Wheelspin",35000,RARE,A608
558,"Subaru IMPREZA WRX STI 2005Autoshow, Wheelspin, Aftermarket Car",35000,COMMON,B570
217,"Ford Focus RS 2003Autoshow, Wheelspin",35000,COMMON,C484
117,"Chevrolet El Camino Super Sport 454 1970Autoshow, Wheelspin",36000,RARE,C430
4,"Acura Integra A-Spec 2023Autoshow, Wheelspin, Aftermarket Car",36000,RARE,C484
303,"Jeep JT 2020Autoshow, Wheelspin",36000,COMMON,D336
237,"Ford De Luxe Five-Window Coupe 1932Autoshow, Wheelspin",36000,COMMON,D100
67,"BMW iX xDrive50 2022Autoshow, Wheelspin",37000,RARE,B595
253,"GMC Typhoon 1992Autoshow, Wheelspin",38000,EPIC,C435
72,"BMW Z4 Roadster 2019Autoshow, Wheelspin, Earn 200 points in the ""Speed Zones"" category in the Collection Journal",38000,COMMON,A634
59,"Autozam AZ-1 1993Autoshow, Wheelspin, Aftermarket Car",38000,RARE,D342
530,"Reliant Supervan III 1972Autoshow, Wheelspin",39000,COMMON,D100
424,"MINI Cooper S 1965Autoshow, Wheelspin, Aftermarket Car",39000,RARE,D158
76,"BMW M5 2012Autoshow, Wheelspin",40000,RARE,A652
210,"Ford FPV Limited Edition Pursuit Ute 2014Autoshow, Wheelspin",40000,COMMON,B563
121,"Chevrolet Nova Super Sport 396 1969Autoshow, Wheelspin",40000,COMMON,C431
288,"Honda S800 1970Autoshow, Wheelspin",40000,COMMON,D134
96,"Cadillac ATS-V 2016Autoshow, Wheelspin",41000,COMMON,A601
52,"Audi RS 6 2009Autoshow, Wheelspin",42000,EPIC,B598
575,"Toyota 4Runner TRD Pro 2019Autoshow, Wheelspin",42000,RARE,C421
213,"Ford Transit SuperSportVan 2011Autoshow, Wheelspin",42000,RARE,D235
103,"Chevrolet Silverado LT Trail Boss 2020Autoshow, Wheelspin",43000,RARE,C449
262,"Honda Civic Type R 2023Autoshow, Wheelspin, Aftermarket Car, Earn 200 points in ""Car Upgrades"" category in the Collection Journal",43000,RARE,A620
80,"BMW M3 2008Autoshow, Wheelspin, Aftermarket Car",43000,COMMON,A608
141,"Dodge Charger SRT Hellcat 2015Autoshow, Wheelspin, Aftermarket Car",44000,RARE,A637
447,"Nissan Silvia Spec-R 2002Autoshow, Wheelspin",44000,COMMON,B551
97,"Cadillac XTS Limousine 2013Autoshow, Wheelspin",44000,RARE,D381
19,"Alumicraft Class 10 Race Car 2015Autoshow, Wheelspin, Aftermarket Car",45000,EPIC,B532
227,"Ford F-150 XLT Lariat 1986Autoshow, Wheelspin",45000,COMMON,D263
573,"Toyota GR Supra 2020Autoshow, Wheelspin, Aftermarket Car, Earn 1,000 points in ""Discovery"" category in the Collection Journal",45000,RARE,A616
190,"Ford Mustang GT 2024Autoshow, Wheelspin",45000,EPIC,A628
9,"Alfa Romeo Giulia Quadrifoglio 2017Autoshow, Wheelspin, Aftermarket Car",45000,RARE,A667
491,"Plymouth Barracuda Formula S 1968Autoshow, Wheelspin",45000,RARE,C445
441,"Nissan 370Z Nismo 2019Autoshow, Wheelspin, Aftermarket Car",46000,RARE,A603
254,"GMC Syclone 1991Autoshow, Wheelspin",46000,EPIC,C446
357,"Lotus Elise Series 1 Sport 190 1999Autoshow, Wheelspin",47000,COMMON,B589
83,"BMW M5 2003Autoshow, Wheelspin",47000,COMMON,B580
293,"Hyundai i20 N 2021Autoshow, Wheelspin, Aftermarket Car",48000,RARE,B564
85,"BMW M5 1995Autoshow, Wheelspin",48000,RARE,B516
115,"Chevrolet K-10 Custom 1972Autoshow, Wheelspin",49000,COMMON,D268
41,"Audi RS 4 Avant 2018Autoshow, Wheelspin",50000,RARE,A637
197,"Ford Bronco Raptor 2022Autoshow, Wheelspin",50000,EPIC,C473
404,"Mercedes-Benz X-Class 2018Autoshow, Wheelspin",50000,COMMON,D258
398,"Mercedes-AMG SLC 43 Final Edition 2020Autoshow, Wheelspin",50000,RARE,A620
494,"Polaris RZR Pro XP Factory Racing Limited Edition 2021Autoshow, Wheelspin",50000,RARE,C439
545,"SIERRA Cars RX3 2021Autoshow, Wheelspin",50000,RARE,A635
40,"Audi RS 3 Sedan 2020Autoshow, Wheelspin",52000,RARE,A617
142,"Dodge Challenger SRT Hellcat 2015Autoshow, Wheelspin",53000,RARE,A631
492,"Plymouth Fury 1958Autoshow, Wheelspin",53000,RARE,D361
79,"BMW M5 2009Autoshow, Wheelspin",54000,RARE,B595
22,"Ariel Nomad 2016Autoshow, Wheelspin, Earn 100 points in the ""Bonus Boards"" category in the Collection Journal",54000,RARE,A601
572,"Toyota GR Yaris 2021Autoshow, Wheelspin, Aftermarket Car",54000,EPIC,B558
94,"Cadillac CT4-V Blackwing 2022Autoshow, Wheelspin",55000,RARE,A650
75,"BMW M4 Coupé 2014Autoshow, Wheelspin",55000,RARE,A679
106,"Chevrolet Camaro ZL1 2017Autoshow, Wheelspin",55000,RARE,S1727
118,"Chevrolet Camaro Z28 1970Autoshow, Wheelspin",55000,RARE,C430
342,"Lancia Delta S4 1986Autoshow, Wheelspin",55000,RARE,B564
273,"Honda S2000 2003Autoshow, Wheelspin, Aftermarket Car",55000,COMMON,B503
46,"Audi RS 7 Sportback 2013Autoshow, Wheelspin",55000,EPIC,A620
538,"RIVIAN R1T 2021Autoshow, Wheelspin",56000,EPIC,A607
533,"Renault Mégane R26.R 2008Autoshow, Wheelspin",58000,RARE,B561
584,"Toyota Supra RZ 1998Autoshow, Wheelspin, Aftermarket Car, Earn 250 points in ""Touge & Street Racing"" category in the Collection Journal",60000,RARE,B526
43,"Audi RS 6 Avant 2015Autoshow, Wheelspin",60000,RARE,A640
212,"Ford Mustang Shelby GT500 2013Autoshow, Wheelspin, Aftermarket Car",60000,RARE,A647
439,"Nissan Z NISMO 2024Autoshow, Wheelspin, Aftermarket Car",60000,EPIC,A652
496,"Pontiac Firebird Trans Am 1977Autoshow, Wheelspin",60000,RARE,D311
95,"Cadillac CTS-V Sedan 2016Autoshow, Wheelspin",60000,COMMON,A648
81,"BMW Z4 M Coupé 2008Autoshow, Wheelspin",63000,RARE,B579
399,"Mercedes-AMG E 63 S 2018Autoshow, Wheelspin, Aftermarket Car",63000,EPIC,A674
69,"BMW M4 Competition Coupé 2021Autoshow, Wheelspin",64000,RARE,A666
547,"SIERRA Cars #23 Yokohama ALPHA 2020Autoshow, Wheelspin",65000,EPIC,R926
102,"Chevrolet Corvette Stingray Coupe 2020Autoshow, Wheelspin, Aftermarket Car",65000,RARE,A699
108,"Chevrolet Camaro Z/28 2015Autoshow, Wheelspin",65000,RARE,A695
289,"HSV Limited Edition Gen-F GTS Maloo 2014Autoshow, Wheelspin",65000,COMMON,A629
201,"Ford Super Duty F-450 DRW PLATINUM 2020Autoshow, Wheelspin",65000,COMMON,D379
224,"Ford Escort RS Cosworth 1992Autoshow, Wheelspin, Aftermarket Car",65000,RARE,C456
65,"BMW M2 2023Autoshow, Wheelspin",67000,RARE,A647
125,"Chevrolet Bel Air 1957Autoshow, Wheelspin",69000,RARE,D320
231,"Ford Capri RS3100 1973Autoshow, Wheelspin",69000,RARE,D394
305,"Jeep Trailcat 2016Autoshow, Wheelspin",70000,RARE,A635
105,"Chevrolet Camaro ZL1 1LE 2018Autoshow, Wheelspin",70000,RARE,S1728
567,"Toyota Land Cruiser 2025Autoshow, Wheelspin",70000,RARE,C456
88,"BMW M5 1988Autoshow, Wheelspin",70000,RARE,C469
74,"BMW i8 2015Autoshow, Wheelspin",70000,RARE,A665
123,"Chevrolet Impala Super Sport 409 1964Autoshow, Wheelspin",70000,COMMON,C427
135,"DeLorean DMC-12 1982Autoshow, Wheelspin",72000,LEGENDARY,D357
304,"Jeep Grand Cherokee Trackhawk 2018Autoshow, Wheelspin",72000,COMMON,A631
462,"Nissan Skyline GT-R 1992Autoshow, Wheelspin, Aftermarket Car",72000,RARE,B541
380,"Mazda RX-3 1973Autoshow, Wheelspin",73000,COMMON,D328
417,"Meyers Manx 2.0 2023Autoshow, Wheelspin",74000,EPIC,B540
53,"Audi RS 4 2006Autoshow, Wheelspin",75000,RARE,B593
232,"Ford Mustang Boss 302 1969Autoshow, Wheelspin",75000,RARE,C468
58,"Austin-Healey 3000 MkIII 1965Autoshow, Wheelspin",75000,COMMON,D352
120,"Chevrolet Camaro Super Sport Coupe 1969Autoshow, Wheelspin",75000,RARE,C471
508,"Porsche 718 Cayman GTS 2018Autoshow, Wheelspin",75000,EPIC,A675
546,"SIERRA Cars 700R 2021Autoshow, Wheelspin",75000,RARE,D346
112,"Chevrolet Corvette ZR-1 1995Autoshow, Wheelspin",76000,COMMON,B576
347,"Lexus LC 500 2021Autoshow, Wheelspin",79000,RARE,B592
509,"Porsche Cayenne Turbo 2018Autoshow, Wheelspin",79000,EPIC,A638
444,"Nissan GT-R Black Edition (R35) 2012Autoshow, Wheelspin, Aftermarket Car",80000,RARE,S1703
37,"Audi RS 7 Sportback 2021Autoshow, Wheelspin",80000,RARE,A655
290,"HSV GEN-F GTS 2014Autoshow, Wheelspin",81000,RARE,A601
38,"Audi RS 6 Avant 2021Autoshow, Wheelspin",83000,RARE,A650
223,"Ford Mustang SVT Cobra R 1993Autoshow, Wheelspin",84000,COMMON,C432
91,"BMW Isetta 300 Export 1957Autoshow, Wheelspin",84000,COMMON,D100
486,"Penhall The Cholla 2011Autoshow, Wheelspin, Aftermarket Car",85000,RARE,B541
129,"Datsun 510 1970Autoshow, Wheelspin",86000,COMMON,D143
137,"Dodge Challenger SRT Super Stock 2022Autoshow, Wheelspin",87000,RARE,A695
208,"Ford Mustang Shelby GT350R 2016Autoshow, Wheelspin",88000,RARE,S1721
403,"Mercedes-AMG GT S 2015Autoshow, Wheelspin",90000,RARE,A691
93,"Cadillac CT5-V Blackwing 2022Autoshow, Wheelspin",90000,RARE,S1701
119,"Chevrolet Chevelle Super Sport 454 1970Autoshow, Wheelspin",90000,RARE,C424
