Brand,Vehicle,Value,Rarity,PI,Autoshow,Wheelspin,Collection Journal
Toyota,"Sports 800 1965Wheelspin, Earn 4,000 points in the ""Regional Mascots"" category in the Collection Journal",250000,RARE,D141,False,True,True
Aston,Martin DBS Superleggera 2019Wheelspin,275000,EPIC,S1736,False,True,False
Audi,Sport quattro 1983Wheelspin,650000,EPIC,B526,False,True,False
BMW,"M2 Competition Coupé 2020Wheelspin, Earn the Yellow wristband",250000,EPIC,A656,False,True,False
Bentley,Bentayga 2016Wheelspin,250000,EPIC,A612,False,True,False
Casey,Currie Motorsports #4402 Ultra 4 'Trophy Jeep' 2019Wheelspin,250000,EPIC,A641,False,True,False
Chevrolet,Corvette ZR1 2019Wheelspin,250000,EPIC,S1778,False,True,False
Chevrolet,Corvette 1960Wheelspin,250000,EPIC,C428,False,True,False
Dodge,Viper ACR 2016Wheelspin,290000,EPIC,S1786,False,True,False
Dodge,Challenger R/T 1970Wheelspin,525000,EPIC,C443,False,True,False
Ferrari,F355 Berlinetta 1994Wheelspin,250000,EPIC,B588,False,True,False
Ferrari,512 TR 1992Wheelspin,350000,EPIC,A615,False,True,False
Ford,F-150 Lightning 2022Wheelspin,250000,EPIC,C500,False,True,False
Ford,M-Sport Fiesta RS 2017Wheelspin,250000,EPIC,S1707,False,True,False
Ford,Ranger T6 Rally Raid 2014Wheelspin,350000,EPIC,B530,False,True,False
Formula,Drift #13 Ford Mustang 2015Wheelspin,250000,EPIC,S1739,False,True,False
Formula,Drift #43 Dodge Viper SRT10 2006Wheelspin,250000,EPIC,S1748,False,True,False
Jaguar,E-type 1961Wheelspin,250000,EPIC,C414,False,True,False
Lamborghini,Aventador LP700-4 2012Wheelspin,345000,EPIC,S1753,False,True,False
Lamborghini,Diablo GTR 1999Wheelspin,680000,EPIC,S2823,False,True,False
McLaren,620R 2021Wheelspin,260000,EPIC,S1773,False,True,False
Mercedes-AMG,GT 4-Door Coupé 2018Wheelspin,250000,EPIC,A664,False,True,False
Mercedes-Benz,G 63 AMG 6x6 2014Wheelspin,780000,EPIC,C489,False,True,False
Nissan,240SX 1993Wheelspin,250000,EPIC,D339,False,True,False
Porsche,911 GT3 RS 2019Wheelspin,250000,EPIC,S1760,False,True,False
Porsche,911 GT2 1995Wheelspin,1100000,EPIC,A644,False,True,False
RJ,Anderson #37 Polaris RZR Pro 4 Truck 2021Wheelspin,250000,EPIC,A677,False,True,False
Apollo,Intensa Emozione 2019Wheelspin,3200000,LEGENDARY,R916,False,True,False
Aston,Martin Valhalla Concept Car 2019Wheelspin,1150000,LEGENDARY,R960,False,True,False
Dodge,Dart HEMI Super Stock 1968Wheelspin,300000,LEGENDARY,B540,False,True,False
Ferrari,F8 Tributo 2019Wheelspin,333000,LEGENDARY,S2802,False,True,False
Ferrari,599XX Evolution 2012Wheelspin,3200000,LEGENDARY,S2894,False,True,False
Ferrari,288 GTO 1984Wheelspin,2800000,LEGENDARY,A643,False,True,False
Hennessey,Venom GT 2012Wheelspin,1400000,LEGENDARY,S2845,False,True,False
Koenigsegg,One:1 2015Wheelspin,3750000,LEGENDARY,S2890,False,True,False
Lamborghini,Sesto Elemento 2011Wheelspin,2500000,LEGENDARY,S2871,False,True,False
Mercedes-Benz,AMG CLK GTR 1998Wheelspin,3600000,LEGENDARY,S1713,False,True,False
Rimac,Nevera 2021Wheelspin,2250000,LEGENDARY,R913,False,True,False
Ford,Super Duty F-450 DRW PLATINUM Forza Edition 2020Wheelspin,500000,FORZA EDITION,A700,False,True,False
Ford,F-150 XLT Lariat Forza Edition 1986Wheelspin,500000,FORZA EDITION,S2850,False,True,False
Ford,Mustang GT 2+2 Fastback Forza Edition 1968Wheelspin,500000,FORZA EDITION,A700,False,True,False
Mercedes-Benz,190E 2.5-16 Evolution II Forza Edition 1990Wheelspin,750000,FORZA EDITION,A700,False,True,False
Nissan,GT-R Black Edition (R35) Forza Edition 2012Wheelspin,750000,FORZA EDITION,S2850,False,True,False
Nissan,S-Cargo Forza Edition 1989Wheelspin,500000,FORZA EDITION,S1800,False,True,False
Porsche,#3 917 LH Forza Edition 1970Wheelspin,1250000,FORZA EDITION,R998,False,True,False
Wuling,Sunshine S Forza Edition 2020Wheelspin,500000,FORZA EDITION,S1800,False,True,False
