Vehicle,Value,Rarity,PI
"Abarth 124 Spider 2017""Hard to Find""",250000,RARE,C450
"Abarth 695 Biposto 2016""Hard to Find""",250000,COMMON,B540
"Abarth Fiat 131 1980Autoshow, Wheelspin",125000,COMMON,D399
"Abarth 595 esseesse 1968Autoshow, Wheelspin",25000,COMMON,D100
"Acura Integra A-Spec 2023Autoshow, Wheelspin, Aftermarket Car",36000,RARE,C484
Acura NSX Type S 2022Earn the Blue wristband,193000,EPIC,S1734
"Acura RSX Type S 2002Autoshow, Wheelspin, Aftermarket Car",18000,COMMON,C462
"Acura Integra Type R 2001Autoshow, Wheelspin",25000,COMMON,C471
Alfa Romeo Giulia GTAm 2021Autoshow (DLC: Italian Passion Car Pack),225000,RARE,S1711
"Alfa Romeo Giulia Quadrifoglio 2017Autoshow, Wheelspin, Aftermarket Car",45000,RARE,A667
Alfa Romeo 4C 2014Autoshow,73000,EPIC,A644
"Alfa Romeo 8C Competizione 2007Autoshow, Wheelspin, Aftermarket Car",312000,EPIC,A635
Alfa Romeo 155 Q4 1992Autoshow,30000,EPIC,C439
Alfa Romeo SE 048SP 1990Autoshow (DLC: Italian Passion Car Pack),1000000,LEGENDARY,R978
"Alfa Romeo 33 Stradale 1968Autoshow, Wheelspin",3500000,LEGENDARY,B593
"Alfa Romeo Giulia TZ2 1965Earn 4,500 points in the ""Horizon Promo"" category in the Collection Journal",1200000,LEGENDARY,B532
"Alfa Romeo Giulia Sprint GTA Stradale 1965Autoshow, Wheelspin",343000,RARE,D379
"Alumicraft #6165 Trick Truck 2022Autoshow, Wheelspin",300000,EPIC,C485
"Alumicraft #122 Class 1 Buggy 2021Autoshow, Wheelspin",160000,EPIC,B571
"Alumicraft Class 10 Race Car 2015Autoshow, Wheelspin, Aftermarket Car",45000,EPIC,B532
"AMG Transport Dynamics M12S Warthog CST 2554Autoshow, Earn 1,500 points in the ""Danger Signs"" category in the Collection Journal",850000,LEGENDARY,A663
Apollo Intensa Emozione 2019Wheelspin,3200000,LEGENDARY,R916
"Ariel Nomad 2016Autoshow, Wheelspin, Earn 100 points in the ""Bonus Boards"" category in the Collection Journal",54000,RARE,A601
"Ariel Atom 500 V8 2013Autoshow, Wheelspin, Aftermarket Car",190000,EPIC,S2825
"Aston Martin Valkyrie 2023Autoshow, Wheelspin",2750000,LEGENDARY,R925
"Aston Martin Valkyrie AMR Pro 2022Autoshow, Wheelspin, Earn 2,500 points in the ""Horizon Legend"" category in the Collection Journal",4200000,LEGENDARY,R989
"Aston Martin DBX 2021""Hard to Find""",250000,RARE,A618
Aston Martin Valhalla Concept Car 2019Wheelspin,1150000,LEGENDARY,R960
Aston Martin DBS Superleggera 2019Wheelspin,275000,EPIC,S1736
Aston Martin Vantage 2019Autoshow,250000,EPIC,A696
"Aston Martin Vulcan AMR Pro 2017Autoshow, Wheelspin",3000000,LEGENDARY,S2898
"Aston Martin DB11 2017Autoshow, Wheelspin",175000,EPIC,A679
"Aston Martin Vulcan 2016Autoshow, Wheelspin, Loyalty Reward",2300000,LEGENDARY,S2884
Aston Martin DB7 GT 2003Autoshow (DLC: Car Pass),0,RARE,B566
Aston Martin DB5 1964Autoshow,500000,EPIC,C417
Audi R8 Coupé V10 GT RWD 2023Autoshow (DLC: Car Pass),250000,EPIC,S1769
"Audi RS e-tron GT 2021Autoshow, Wheelspin, Aftermarket Car",95000,EPIC,A677
"Audi RS 7 Sportback 2021Autoshow, Wheelspin",80000,RARE,A655
"Audi RS 6 Avant 2021Autoshow, Wheelspin",83000,RARE,A650
"Audi R8 V10 performance 2020Autoshow, Wheelspin",281000,RARE,S1738
"Audi RS 3 Sedan 2020Autoshow, Wheelspin",52000,RARE,A617
"Audi RS 4 Avant 2018Autoshow, Wheelspin",50000,RARE,A637
"Audi R8 V10 plus 2016Autoshow, Wheelspin, Aftermarket Car",160000,EPIC,S1731
"Audi RS 6 Avant 2015Autoshow, Wheelspin",60000,RARE,A640
"Audi S1 2015Autoshow, Wheelspin",21000,COMMON,B527
"Audi R8 Coupé V10 plus 5.2 FSI quattro 2013Earn 2,700 points in the ""Day Trips"" category in the Collection Journal",100000,EPIC,A694
"Audi RS 7 Sportback 2013Autoshow, Wheelspin",55000,EPIC,A620
"Audi RS 4 Avant 2013Autoshow, Wheelspin",30000,RARE,A607
"Audi RS 5 Coupé 2011Autoshow, Wheelspin",25000,RARE,A613
"Audi RS 3 Sportback 2011Autoshow, Wheelspin, Aftermarket Car",20000,COMMON,B565
"Audi TT RS Coupé 2010Autoshow, Wheelspin",35000,RARE,B593
"Audi R8 LMS 2009Autoshow, Wheelspin",900000,RARE,S2810
"Audi RS 6 2009Autoshow, Wheelspin",42000,EPIC,B598
"Audi RS 4 2006Autoshow, Wheelspin",75000,RARE,B593
"Audi RS 6 2003Autoshow, Wheelspin",35000,RARE,B556
"Audi RS 4 Avant 2001Autoshow, Wheelspin",175000,COMMON,B544
"Audi #2 Audi Sport quattro S1 1986Autoshow, Wheelspin",750000,LEGENDARY,S1726
Audi Sport quattro 1983Wheelspin,650000,EPIC,B526
